STATE,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,E_TOTPOP,FIPS,V_PCT_12YRS,V_PCT_18YRS,V_PCT_65YRS,V_PCT_ALL,V_REPORT_COMPLETENESS
AK,0.000683618977286161,0.0003248795566692986,0.0004010642505513174,0.00037420987569635286,0.0001827265071653018,5.283306357335404e-05,0.001716052932308002,0.00013485566503253904,0.00010420665025241654,0.00032429576591158193,0.0008231449683804331,0.7445375428538903,0.00042499967161769875,0.0003283823012155983,0.0003070739385589417,0.1834328939821389,0.05646424208635141,0.0017107988154885527,0.001729188224356626,0.001993061646844538,0.0014121898429165017,0.0025377384237941438
AL,0.00022728934603105747,0.0001827986655313611,1.796207597813828e-05,0.00019538747091774864,2.694311396720742e-05,8.397654324821914e-06,0.0003599477208405385,0.00021955183637893634,3.286906381982398e-05,0.00018301359635503113,7.375197692220195e-05,0.2373266154964479,0.00020918910023770272,9.248166298487606e-05,8.267160610450824e-05,0.7468354852079464,0.010975135466676304,0.00045052571081576575,0.00047229513281320175,0.0006894980823334585,0.0003867373127908388,0.0009514526997821538
AR,0.00033300533869631686,0.0002803045469111323,3.8788725944800226e-05,0.00030366817160635396,4.9851569261376984e-05,1.56412491651778e-05,0.00036295164991205926,0.0002545632951443196,4.330818236187422e-05,0.00023848975014794345,0.00010428154437135503,0.3307465929783053,0.00029229093132163294,0.00013615353701698115,9.500683381109884e-05,0.587661184448134,0.07479209124994725,0.0006808659341374508,0.0007065089368517184,0.000953055109308359,0.0005820863367086206,0.0013293096809350229
AZ,4.712744960427126e-05,4.0870031900478326e-05,1.087243293001765e-05,3.244084232552083e-05,7.329730065180438e-06,9.52864908473457e-06,0.00010087880341559449,4.4005527539472185e-05,9.43363406537112e-06,3.2467989473910385e-05,1.2650571149533646e-05,0.047764185969748324,4.072072258433577e-05,1.8690811666210116e-05,1.7740661472575613e-05,0.942913442552555,0.008172377551192293,0.0001286367626439167,0.0001306727987731335,0.00015700553271100396,0.00011020384888740736,0.00019871712621155854
CA,2.793827819105597e-05,1.9327816439059927e-05,7.561892351441438e-06,1.6179669703906462e-05,4.165015200342462e-06,9.059151914093822e-06,5.979284116650888e-05,8.278821197402025e-06,1.0883174964360895e-05,2.009839302179308e-05,7.795991566448975e-06,0.039590542232721314,1.854504718887847e-05,1.109776591145114e-05,8.937225239610728e-06,0.9523542817918141,0.007387098270902475,7.76258365764061e-05,7.942059722479723e-05,9.624403976997442e-05,6.636956598812692e-05,0.00011875658094653274
CO,0.00016512864914419592,0.00014542014696847678,1.9683633403257695e-05,0.00010957181146526014,2.9643576774078548e-05,1.8775923208413846e-05,0.0002028421425820232,7.54394212618853e-05,6.172429324938167e-05,7.277846260850744e-05,3.735289623713589e-05,0.2442742635660149,0.00010395146888896672,5.366681097186368e-05,4.087182754043464e-05,0.6877634349066846,0.06415931910494703,0.0004494533246962429,0.00046362852499928385,0.0005854357725155898,0.0003925038357594645,0.0007751099000792619
CT,4.013970524059727e-05,3.384278898097857e-05,3.010477893044795e-06,2.2804370039814322e-05,8.278814205873187e-06,5.393772891705257e-06,4.887009113042718e-05,2.383294998660463e-06,1.956810630479117e-05,1.7209898621906078e-05,1.4650992412818003e-05,0.08232904418004253,1.8389002463348623e-05,1.6206405990891144e-05,1.2066998887954553e-05,0.8985032179876254,0.01807892324036501,0.00015325841207175544,0.0001557420563335174,0.00018479316800139967,0.00013471888571375457,0.00019748734978373856
DC,2.3751343185159202e-05,1.5878706960864862e-05,4.803642441942311e-06,1.5745272448588686e-05,7.739201712018167e-06,3.3358628069043822e-06,8.513121883219983e-05,1.334345122761753e-07,6.164674467159298e-05,1.2542844153960478e-05,4.723581734576605e-05,0.07114861629077943,2.241699806239745e-05,1.1208499031198726e-05,9.874153908436972e-06,0.9133565678401744,0.014679130695502043,8.96679922495898e-05,9.060203383552303e-05,0.00010941630006646374,7.752545163245785e-05,0.0001270296556869189
DE,5.9314482140548435e-05,5.291963953477056e-05,5.0046594306087746e-06,3.6700835824464346e-05,6.765558119156306e-06,5.375374943987201e-06,9.703478562680345e-05,2.845241565179433e-05,2.4281866126287018e-05,3.123278200213254e-05,1.594076707527239e-05,0.09076042556287356,3.4013148352470744e-05,2.502329715304387e-05,1.5848088196927786e-05,0.8799813159381256,0.027812004602433094,0.00017581183221971933,0.00018035309725860507,0.00023290202127999721,0.00015180800272846616,0.0002674712429025356
FL,5.649868267817938e-05,6.12374208364712e-05,7.95246421836974e-06,4.810680819422258e-05,1.7877966688100985e-05,8.90451979380837e-06,9.312482069799494e-05,6.40806637314463e-05,2.4839603837009708e-05,4.224369670928151e-05,1.6964682606684744e-05,0.07630983913767442,4.7882795117648785e-05,2.4072789844122482e-05,2.005347829713496e-05,0.8873562479009006,0.03483187943533506,0.00015661098818776464,0.00016185806371212777,0.00022765759701189994,0.0001371864696825484,0.0002848800142451639
GA,0.00022430222175098504,0.0001635696801828072,2.2938594366229275e-05,0.00015695836786749337,4.048423799442892e-05,1.590673084657366e-05,0.0003708210244283476,0.00021840832031366593,3.0180733488055777e-05,0.0001779859280845814,7.169161118720134e-05,0.2302698433405946,0.00020320663119201816,9.743181872353089e-05,6.895184378244547e-05,0.6368557791014724,0.12942321068357396,0.0002452246441669876,0.00025100722322668684,0.0003184809532174017,0.00021015809521672608,0.0005634582143230118
IA,0.0002846267833339535,0.0002405614403315538,1.8317751341913105e-05,0.00016026153037921378,3.8765473770095176e-05,1.4972443812302437e-05,0.00011040767771883605,5.0931367445196155e-05,5.852408790566083e-05,0.00010527068862842266,6.680591665874192e-05,0.36486968523663166,0.00013764624913971093,9.46834794054975e-05,4.5731732146363094e-05,0.39247837045684997,0.2369030270522616,0.0007125254453237048,0.0007496370591915207,0.0010426584344537105,0.0006072046397285465,0.001209385053541835
IL,0.00012645947885801877,0.00010832607654346284,9.109562965459234e-06,8.71523433019155e-05,2.296821427740317e-05,5.3777281998099995e-06,7.636831236350798e-05,4.558210427384118e-05,2.597425575784957e-05,6.130953042248849e-05,3.6729712157469565e-05,0.1649520114623676,7.921433642674431e-05,4.8410983613804995e-05,3.455233230186106e-05,0.7327367266809702,0.09969107951818662,0.0002924718343057134,0.0003051532146196118,0.00043259565761192105,0.0002523303222170148,0.0005700963382574349
IN,0.00019652920472809385,0.00014391981993145704,1.5036537120641851e-05,0.00012930867069983702,2.3313105830958246e-05,6.93567210361709e-06,8.041680615073896e-05,6.891283802153942e-05,3.7313915917459945e-05,0.00010236127268658344,4.7735919198495236e-05,0.22840592361883022,0.0001101014827542201,7.223271306847079e-05,4.093896053695048e-05,0.613800137973637,0.15392235376366556,0.00043830673426018565,0.0004611204716996834,0.0006831914448946979,0.0003741933813343493,0.0008397156929291283
KS,0.0003164851996053181,0.0002588179993248248,2.329501409132893e-05,0.00020417991132280143,4.075993760484975e-05,2.2293759405140146e-05,0.00020755122456996873,9.931432558196599e-05,4.538598773724097e-05,0.00013847732533289435,5.8681129076633804e-05,0.35792054052949696,0.00016411704976529833,9.407991817189044e-05,4.968251101088651e-05,0.3686614684903123,0.2675536296090732,0.0006650485714985325,0.0007007895615624867,0.0009677950359161464,0.0005619953834807984,0.0012456115260586545
