,STATE,COUNTY,FIPS,E_TOTPOP,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,SVI,V_REPORT_COMPLETENESS,V_PCT_ALL,V_PCT_12YRS,V_PCT_18YRS,V_PCT_65YRS
0,AL,Autauga,1001,55200,15.4,4.2,29372,11.3,14.6,24.2,19.3,7.5,25.0,0.8,3.8,18.4,1.4,5.6,1.0,Low-Mod,92.5,34.7,40.8,42.5,62.2
1,AL,Blount,1009,57645,14.4,4.1,22656,19.8,17.8,23.4,14.2,7.0,12.9,1.7,0.9,25.2,1.6,4.2,0.9,Low-Mod,92.5,27.2,32.0,33.9,50.1
2,AL,Butler,1013,20025,23.5,6.7,20430,15.4,19.0,22.8,17.7,10.5,48.1,0.5,1.3,26.2,1.8,7.8,1.6,High,92.5,34.4,40.1,42.1,59.6
3,AL,Calhoun,1015,115098,18.6,8.8,24706,15.9,16.8,21.9,20.8,10.4,27.5,1.0,3.7,14.7,1.7,5.8,2.7,High,92.5,40.3,46.8,49.2,74.6
4,AL,Chambers,1017,33826,16.6,5.0,22827,18.6,18.9,20.7,16.7,9.7,44.2,0.1,4.0,14.0,3.0,7.3,1.5,Mod-High,92.5,27.3,31.7,33.2,48.8
5,AL,Coffee,1031,51288,15.1,5.9,27577,13.8,16.3,23.7,17.7,9.7,29.4,1.4,0.9,13.6,1.4,6.0,1.2,Mod-High,92.5,33.8,40.0,42.4,69.1
6,AL,Colbert,1033,54495,16.3,5.9,24918,15.6,19.3,21.3,18.7,8.2,21.3,0.3,2.2,9.3,0.4,6.1,0.8,Low-Mod,92.5,42.6,49.4,51.3,73.4
7,AL,Covington,1039,37351,18.3,8.7,23071,17.1,20.5,21.9,20.9,9.0,16.6,0.4,1.3,21.6,2.1,5.2,1.8,High,92.5,33.5,39.1,41.3,61.5
8,AL,Cullman,1043,82313,15.8,5.5,22980,18.2,18.0,22.6,17.6,6.7,7.9,0.6,2.5,22.9,1.8,4.2,1.5,Mod-High,92.5,34.2,40.2,42.6,66.8
9,AL,Dale,1045,49255,18.4,8.8,23837,14.2,16.1,23.4,21.3,8.2,31.0,1.0,1.2,18.2,1.7,5.5,2.6,High,92.5,45.6,54.0,57.4,72.5
10,AL,Elmore,1051,81212,12.3,6.2,27475,13.6,14.5,22.5,17.9,9.2,26.8,0.7,2.6,15.1,1.4,4.7,5.4,Mod-High,92.5,37.7,44.1,46.5,75.9
11,AL,Etowah,1055,102939,17.3,6.5,24065,15.5,18.3,21.6,19.6,8.9,21.9,1.2,3.1,11.0,1.2,6.3,1.3,Mod-High,92.5,35.8,41.7,43.8,66.1
12,AL,Henry,1067,17124,13.5,6.7,24069,19.8,21.6,20.9,18.7,7.1,31.1,0.3,0.8,25.9,0.8,5.5,1.8,Mod-High,92.5,39.1,44.9,47.7,67.9
13,AL,Houston,1069,104352,18.3,7.0,25990,14.3,16.9,23.4,17.8,10.4,33.1,0.6,5.1,13.7,1.2,6.2,0.9,Mod-High,92.5,37.2,43.8,46.4,70.0
14,AL,Jackson,1071,52094,20.2,5.9,21608,17.5,19.1,21.4,18.8,7.4,10.7,0.4,1.4,19.6,2.2,4.6,1.3,Mod-High,92.5,42.1,48.5,51.3,78.0
15,AL,Lauderdale,1077,92585,15.2,5.3,27189,12.6,19.3,20.0,14.7,7.6,15.2,0.6,5.3,9.1,1.2,7.0,2.4,Low-Mod,92.5,40.8,46.6,48.9,71.1
16,AL,Lawrence,1079,33171,16.8,5.7,23557,21.0,17.4,21.8,20.5,7.3,23.5,0.2,0.8,22.5,1.5,5.5,0.7,Low-Mod,92.5,41.4,48.1,51.1,78.7
17,AL,Limestone,1083,93052,13.7,6.9,27699,15.7,14.7,23.0,16.3,7.6,23.1,1.0,3.6,12.6,1.8,3.6,3.1,Mod-High,92.5,32.1,37.5,39.7,65.8
18,AL,Madison,1089,357560,13.2,5.8,35526,8.9,14.3,22.1,13.1,8.1,35.1,1.1,10.2,4.4,1.3,4.9,2.5,Low-Mod,92.5,52.4,61.1,62.9,85.1
19,AL,Marshall,1095,95145,21.7,5.1,23833,19.1,16.8,24.9,15.5,9.2,18.8,4.0,1.6,14.8,2.6,4.8,1.1,Mod-High,92.5,39.3,47.1,50.1,75.7
20,AL,Mobile,1097,414659,19.3,6.2,25215,13.8,15.3,23.7,14.0,10.8,42.8,0.7,9.0,7.7,2.0,6.7,2.2,High,92.5,42.3,50.1,52.4,74.2
21,AL,Morgan,1103,119122,15.3,5.2,25907,16.7,16.7,23.0,16.8,9.1,24.0,2.1,5.2,11.1,2.4,5.3,1.6,Mod-High,92.5,38.0,44.7,47.3,73.0
22,AL,Randolph,1111,22574,17.7,5.0,23247,21.2,20.0,21.8,14.3,8.2,24.7,0.3,1.6,23.5,2.9,7.0,2.2,Mod-High,92.5,29.3,34.0,36.5,58.1
23,AL,Russell,1113,58213,20.1,7.8,22055,16.7,13.4,24.7,18.8,11.5,53.0,1.0,3.2,15.6,3.1,9.8,1.0,High,92.5,33.0,39.5,41.1,70.5
24,AL,St. Clair,1115,87306,13.2,5.3,24861,15.2,15.9,22.9,16.5,7.2,14.0,0.5,1.7,23.9,0.9,3.0,2.5,Low-Mod,92.5,34.3,40.2,42.4,66.0
25,AL,Shelby,1117,211261,8.4,4.0,36576,7.8,14.3,24.0,11.2,6.0,21.9,1.6,7.6,8.0,1.1,2.9,1.4,Low,92.5,31.5,36.9,38.2,48.2
26,AL,Talladega,1121,80565,19.9,8.8,22498,19.0,17.1,21.5,19.3,10.4,37.1,0.5,2.3,23.6,1.3,7.9,4.2,High,92.5,32.1,37.1,39.0,60.8
28,AZ,Pinal,4021,419721,14.2,7.8,23653,14.6,19.3,23.4,15.2,8.3,42.9,3.4,2.2,19.1,3.7,4.4,6.3,High,97.6,45.2,52.8,54.6,70.9
29,AR,Boone,5009,37288,14.9,4.4,23998,13.0,20.1,22.8,18.8,7.7,6.0,0.0,2.9,11.7,2.4,5.6,1.4,Low-Mod,90.2,32.6,38.3,40.1,60.0
30,AR,Bradley,5011,10948,23.2,8.0,22411,18.0,18.4,23.7,21.4,10.7,44.3,3.0,2.4,17.6,3.5,9.3,1.8,High,90.2,50.3,59.7,61.7,78.1
31,AR,Crawford,5033,62472,15.9,5.1,23851,14.8,16.1,24.8,20.2,8.8,15.4,1.2,2.4,12.2,3.0,3.9,1.0,Mod-High,90.2,40.2,47.6,49.4,67.2
32,AR,Cross,5037,16998,16.7,5.7,24486,17.2,18.0,24.0,19.9,10.8,27.1,0.1,1.4,15.7,2.1,7.0,1.3,Mod-High,90.2,45.4,53.6,55.4,71.5
33,AR,Faulkner,5045,122416,16.8,4.7,26163,8.7,11.8,23.5,14.6,7.7,19.7,0.7,9.1,12.1,1.9,4.8,4.0,Low-Mod,90.2,42.9,50.4,51.3,77.5
34,AR,Franklin,5047,17780,21.9,3.0,20262,17.4,18.9,23.5,21.0,5.2,7.9,0.4,1.3,15.5,3.1,5.4,1.9,Mod-High,90.2,43.7,50.9,52.7,70.3
35,AR,Garland,5051,98296,18.6,7.1,26791,11.6,22.8,20.4,20.5,9.8,17.7,1.2,7.4,13.6,1.8,7.7,2.2,High,90.2,39.9,45.8,46.9,66.9
36,AR,Grant,5053,18086,14.5,7.1,25907,8.5,17.2,22.9,19.7,8.3,7.3,0.1,3.2,26.4,1.7,2.5,0.9,Low-Mod,90.2,40.2,46.7,48.7,65.5
37,AR,Independence,5063,37264,17.3,4.9,23426,14.2,17.2,23.9,19.7,9.7,11.0,1.6,2.6,18.4,2.4,4.3,2.9,High,90.2,35.1,41.8,43.5,61.1
38,AR,Logan,5083,21757,21.1,8.8,22221,14.9,19.2,22.2,21.0,10.6,9.4,0.8,1.2,13.0,2.7,4.7,2.8,High,90.2,41.1,47.5,49.6,69.8
39,AR,Lonoke,5085,72206,12.2,4.2,26222,11.3,12.8,26.1,13.8,10.0,13.9,0.7,2.3,15.0,2.0,4.2,0.9,Low-Mod,90.2,42.0,50.3,51.9,76.3
40,AR,Madison,5087,16076,16.8,6.4,23875,20.3,18.4,23.7,19.1,6.1,10.4,1.4,1.4,20.6,2.9,5.4,0.5,Mod-High,90.2,37.9,44.6,46.6,63.7
41,AR,Pope,5115,63644,18.5,6.2,22110,15.2,15.1,22.9,16.7,9.6,15.6,2.2,3.8,11.3,2.1,5.5,5.4,High,90.2,44.0,51.7,52.9,72.2
