STATE,EP_AGE17,EP_AGE65,EP_CROWD,EP_DISABL,EP_GROUPQ,EP_LIMENG,EP_MINRTY,EP_MOBILE,EP_MUNIT,EP_NOHSDP,EP_NOVEH,EP_PCI,EP_POV,EP_SNGPNT,EP_UNEMP,E_TOTPOP,FIPS,V_PCT_12YRS,V_PCT_18YRS,V_PCT_65YRS,V_PCT_ALL,V_REPORT_COMPLETENESS
AK,234.2,111.3,137.4,128.2,62.6,18.1,587.9,46.2,35.7,111.1,282.0,255070,145.6,112.5,105.2,62842,19344,586.1,592.4,682.8,483.79999999999995,869.4
AL,1480.5,1190.7,117.0,1272.7,175.5,54.7,2344.6,1430.1,214.1,1192.1,480.4,1545880,1362.6,602.4,538.5,4864680,71489,2934.6,3076.4,4491.2,2519.1,6197.5
AR,1694.7,1426.5,197.4,1545.4,253.7,79.6,1847.1,1295.5,220.4,1213.7,530.7,1683205,1487.5,692.9,483.5,2990671,380625,3465.0,3595.5,4850.2,2962.3,6765.0
AZ,347.2,301.09999999999997,80.1,239.0,54.0,70.2,743.2,324.2,69.5,239.2,93.2,351891,300.0,137.7,130.7,6946685,60208,947.7,962.7,1156.7,811.9,1464.0
CA,1145.7,792.6,310.1,663.5,170.79999999999998,371.5,2452.0,339.5,446.3,824.2,319.7,1623539,760.5,455.1,366.5,39054386,302932,3183.3,3256.9,3946.8,2721.7,4870.0
CO,1328.0,1169.5,158.3,881.2,238.4,151.0,1631.3,606.7,496.4,585.3,300.4,1964506,836.0,431.6,328.7,5531141,515983,3614.6,3728.6,4708.2,3156.6,6233.6
CT,160.0,134.9,12.0,90.9,33.0,21.5,194.8,9.5,78.0,68.6,58.4,328170,73.3,64.6,48.1,3581504,72064,610.9,620.8,736.6,537.0,787.2
DC,17.8,11.9,3.6,11.8,5.8,2.5,63.8,0.1,46.2,9.4,35.4,53321,16.8,8.4,7.4,684498,11001,67.2,67.9,82.0,58.1,95.2
DE,64.0,57.1,5.4,39.6,7.3,5.8,104.69999999999999,30.700000000000003,26.200000000000003,33.7,17.2,97930,36.7,27.0,17.1,949495,30009,189.7,194.6,251.3,163.8,288.6
FL,1311.5,1421.5,184.6,1116.7,415.0,206.7,2161.7,1487.5,576.6,980.6,393.8,1771375,1111.5,558.8,465.5,20598139,808550,3635.4,3757.2,5284.6,3184.5,6612.900000000001
GA,3626.8,2644.8,370.9,2537.9,654.6,257.2,5995.9,3531.5,488.0,2877.9,1159.2,3723292,3285.7,1575.4,1114.9,10297484,2092677,3965.1,4058.6,5149.6,3398.1,9110.699999999999
IA,2271.7,1920.0,146.2,1279.1,309.4,119.5,881.2,406.5,467.1,840.2,533.2,2912145,1098.6,755.7,365.0,3132499,1890801,5686.9,5983.1,8321.8,4846.3,9652.5
IL,2212.8,1895.5,159.4,1525.0,401.9,94.10000000000001,1336.3,797.6,454.5,1072.8,642.6999999999999,2886346,1386.1,847.1,604.6,12821497,1744404,5117.7,5339.6,7569.6,4415.3,9975.6
IN,2125.2,1556.3,162.6,1398.3,252.1,75.0,869.6,745.2,403.5,1106.9,516.2,2469904,1190.6,781.1,442.7,6637426,1664464,4739.7,4986.4,7387.8,4046.4,9080.4
KS,2497.1,2042.1,183.8,1611.0,321.6,175.9,1637.6,783.6,358.1,1092.6,463.0,2824029,1294.9,742.3,392.0,2908776,2111025,5247.3,5529.3,7636.0,4434.2,9828.0
KY,2710.0,2039.1,243.9,2470.8,360.7,59.5,994.5,2334.0,306.4,2225.8,884.2,2774155,2518.2,1010.4,847.6,4440204,2534400,6179.5,6459.4,8922.1,5277.0,11328.0
MA,272.0,246.9,22.0,169.1,53.8,45.8,308.0,15.0,152.1,119.8,141.6,563114,149.7,111.6,72.9,6830193,350196,771.4,778.1,898.8,678.2,1254.3999999999999
MD,515.4,404.8,39.6,304.4,86.3,41.8,774.6,76.3,259.2,246.8,179.2,877000,248.6,212.4,131.3,6003435,577079,1636.6,1677.9,2120.2,1410.6,2368.8
ME,300.2,338.0,23.4,280.1,41.2,6.4,93.3,148.8,59.4,133.8,114.4,463732,220.4,125.3,83.5,1332813,368256,1158.5,1185.2,1432.0,1023.9,1544.0
MI,1666.1,1717.8,134.9,1384.3,264.2,50.9,1005.4,724.2,384.9,794.1,539.1,2231836,1243.9,646.6,552.6,9957488,2164889,4782.9,4976.3,6776.5,4188.6,8134.0
MN,2000.2,1648.5,155.1,1090.9,225.6,101.3,997.7,492.9,720.0,705.0,483.4,2681990,935.5,683.7,315.0,5527358,2356569,4993.5,5188.9,7225.7,4250.7,8178.0
MO,2608.7,2172.9,240.20000000000002,2041.3,398.3,65.6,1107.4,1373.3,352.3,1591.8,711.1,2758528,1912.9,942.7,606.2,6090062,3348537,4831.3,5091.1,7493.9,4129.5,10476.5
MS,1941.9,1329.6,236.2,1488.4,314.8,51.6,3762.4,1694.6,212.9,1606.4,618.0,1714371,1980.2,917.8,753.5,2988762,2302724,4100.0,4286.2,6233.3,3481.6,8060.599999999999
MT,1216.2,1166.1,118.5,843.1,159.0,20.7,764.6,753.3,166.5,454.4,252.4,1571868,793.1,334.6,236.2,1041732,1683136,2675.6,2787.8,3971.8,2284.0,5353.599999999999
NC,2103.4,1897.1,222.1,1687.3,319.6,172.4,3211.1,1992.4,366.0,1548.6,639.4,2541622,1751.8,874.5,700.6,10155624,3710000,5144.9,5348.7,7314.4,4467.6,9640.0
ND,1204.0,1072.2,97.0,666.0,149.7,22.3,676.6,491.3,369.8,508.4,213.4,1837616,562.4,335.0,137.5,752201,2016809,2437.4,2556.7,3608.9,2055.9,5040.299999999999
NE,2143.9,1945.9,136.3,1274.5,241.8,132.1,999.6,631.7,324.2,796.0,364.9,2654770,1023.2,581.2,247.8,1904760,2891649,4017.5,4228.3,5769.8,3405.1,8332.8
NH,185.5,190.2,13.1,142.7,39.6,6.4,75.4,72.1,72.3,75.3,55.7,355402,91.7,72.5,40.8,1343622,330100,663.5,677.5,854.1,589.2,941.0
NJ,459.3,339.0,55.2,233.3,49.8,107.0,794.7,29.099999999999998,271.4,216.8,206.8,844746,213.7,171.1,131.4,8881845,714441,1445.0,1484.6,1668.5,1246.6,1963.5
NM,714.5,652.0,97.8,620.4,106.3,117.5,1840.0,762.0,99.8,509.4,195.7,759926,675.7,288.7,228.4,2053127,1120956,1709.8,1727.0,1914.8,1485.3,2697.6
NV,359.6,334.1,56.0,281.4,73.2,43.4,484.3,395.7,85.8,211.4,89.8,493581,207.4,140.6,110.9,2922849,544774,775.4,809.2,1086.3,669.3,1613.3000000000002
NY,1261.1,1092.2,141.4,870.6,285.1,136.0,1169.6,460.4,566.7,683.2,760.4,1938478,843.2,531.3,357.0,19618453,2235844,4122.3,4214.4,5132.4,3591.7,6051.2
OH,1990.9,1528.1,121.7,1357.0,259.2,47.7,878.2,734.6,412.8,993.4,618.4,2420446,1241.6,767.2,483.0,11641879,3439744,4468.1,4689.9,6909.0,3832.0,8685.6
OK,1846.8,1355.0,204.4,1418.5,277.9,106.6,2273.0,1096.4,201.5,1084.4,401.1,1884251,1311.5,686.2,426.4,3918137,3085929,3507.6,3699.1,5409.6,2962.2,7222.599999999999
OR,747.0,758.5,113.2,644.4,98.0,78.1,700.3000000000001,512.7,221.3,399.9,221.0,996844,549.1,271.1,245.6,4081943,1477296,2214.4,2285.3,2870.0,1921.4,3520.7999999999997
PA,1336.4,1294.9,83.1,1043.7,311.1,66.1,803.6,527.6,336.5,695.2,542.6,1935793,845.4,510.6,365.2,12791181,2818489,3861.4,4001.8,5419.4,3374.5,6324.8
RI,93.8,92.3,5.8,64.3,22.7,10.600000000000001,80.3,6.300000000000001,48.1,45.8,36.3,198454,49.8,36.8,26.4,1056611,220025,384.1,387.9,467.0,340.4,467.0
SC,996.3,840.1,90.5,785.3,158.2,55.8,1981.6,1108.1,187.9,748.7,365.7,1106178,894.5,449.7,362.8,4955925,2072116,2290.8,2381.1,3353.0,1980.9,4314.8
SD,1650.9,1241.2,196.6,814.4,244.0,38.3,1320.5,764.0,317.3,673.2,326.9,1853116,1048.4,535.5,303.5,864289,3040485,3195.6,3336.1,4331.3,2643.5,5596.8
TN,2046.5,1756.2,186.0,1815.7,281.7,68.0,1297.8,1628.7,281.1,1609.0,538.5,2306908,1699.5,785.1,634.9,6651089,4474025,4280.4,4515.6,6835.0,3697.2,9300.5
UT,855.5,411.1,98.2,344.3,72.5,47.1,440.2,269.8,134.0,240.29999999999998,94.5,738566,344.2,186.0,116.4,3045350,1421841,1558.2,1653.4,2262.4,1277.4,2824.6000000000004
VA,2689.8,2468.5,207.1,2007.3,587.4,164.9,3798.0,1286.7,950.5,1837.1,880.0,4006733,1889.1,1079.3,745.6,8413774,6818111,6751.7,6985.7,9321.1,5873.7,11078.9
VT,266.2,272.4,23.1,212.0,45.2,5.0,83.89999999999999,112.2,55.699999999999996,115.0,85.5,447524,157.8,106.2,59.3,624977,700196,781.6,790.9,967.2,689.9,1031.8
WA,845.0,766.7,132.6,645.2,88.9,131.3,940.7,473.5,270.7,438.7,203.6,1141875,555.4,303.9,236.9,7294336,2068521,2335.8,2408.0,3045.0,2009.4,3747.8999999999996
WI,1539.7,1377.6,122.5,958.1,180.0,55.7,788.4,448.7,407.7,604.8,393.2,2143602,829.3,563.0,283.8,5778394,3965119,4337.8,4499.8,6242.6,3753.8,6984.0
WV,1103.7,1105.0,69.8,1151.7,155.7,18.0,310.2,996.5,162.4,840.2,460.3,1301864,1013.6,395.6,409.9,1829054,2973025,1396.8,1442.6,2042.2,1219.1,3294.5
WY,533.0,395.4,48.9,309.5,65.5,19.4,309.4,342.7,97.3,167.4,81.8,723467,265.6,160.9,94.7,581836,1288529,1029.6,1083.5,1644.9,879.7,2217.2000000000003
All,60720.7,50925.2,5965.0,43760.3,9372.7,3796.5999999999995,57917.0,34590.0,13235.099999999999,35168.4,17524.4,74758959,42452.8,22609.699999999997,15758.0,286435026,80889386,137830.2,143388.0,195798.4,118429.0,251420.0
