odid,display_name,similarity score,release_date,MONTH,release_pattern,distributor,movie_url,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,domestic_dvd_units,domestic_dvd_spending,domestic_bluray_units,domestic_bluray_spending,creative_type,source,production_method,genre,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_,franchise,video_rental_spending,rating,reason,production_company1,production_company2,production_company3,imdbid,movieId,imdb_moviemeter,imdb_rating,imdb_votes
178290100,The Hunger Games: Mockingjay - Part 1,0.190415565,11/21/14,11,Wide,Lionsgate,Hunger-Games-Mockingjay-Part-1-The,2014,123,1,121897634,4151,4151,30413,2450401,31904181,2355756,44682263,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,125000000,337135885,429516403,347438328,Hunger Games,,PG-13,"for intense sequences of violence and action, some disturbing images and thematic material.",Lionsgate,Color Force,,1951265,116823,,,
180590100,Divergent,0.199043921,3/21/14,3,Wide,Lionsgate,Divergent,2014,140,0,54607747,3936,3936,25588,2637242,36465819,1396851,25353611,Science Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,85000000,150947895,125067070,155751618,The Divergent Series,,PG-13,"for intense violence and action, thematic elements and some sensuality.",Red Wagon Entertainment,,,1840309,108190,,,
175350100,Noah,0.247163483,3/28/14,3,Wide,Paramount Pictures,Noah,2014,137,0,43720472,3567,3571,16893,721552,11832795,532275,9726665,Historical Fiction,Based on Religious Text,Live Action,Drama,130000000,101200044,251631021,104420606,,,PG-13,"for violence, disturbing images and brief suggestive content.",Protozoa Pictures,,,1959490,110127,,,
192510100,Exodus: Gods and Kings,0.250885431,12/12/14,12,Wide,20th Century Fox,Exodus-Gods-and-Kings,2014,150,0,24115934,3503,3503,14235,493226,7031172,473829,10749232,Historical Fiction,Based on Religious Text,Live Action,Drama,140000000,65014513,203300000,66966672,,,PG-13,for violence including battle sequences and intense images.,Chernin Entertainment,Scott Free Films,,1528100,116887,,,
205740100,Left Behind,0.287502298,10/3/14,10,Wide,Freestyle Releasing,Left-Behind-(2014),2014,111,0,6300146,1825,1887,5433,381594,4068347,43802,656524,Science Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,16000000,14019924,6749285,14466082,,,PG-13,"for some thematic elements, violence/peril and brief drug content.",Stoney Lake Entertainment,Entertainment One,,2467046,115414,,,
187470100,Vampire Academy,0.331191703,2/7/14,2,Wide,Weinstein Co.,Vampire-Academy,2013,104,0,3921742,2676,2676,6102,273331,3275649,45567,755258,Fantasy,Based on Fiction Book/Short Story,Live Action,Drama,0,7791979,42846,8039944,,4175267,PG-13,"for violence, bloody images, sexual content and language.",Deepak Nayar,Preger Entertainment,Montford Murphy,1686821,110809,,,
169110100,"I, Frankenstein",0.39041022,1/24/14,1,Wide,Lionsgate,I-Frankenstein,2012,92,0,8610441,2753,2753,7955,496027,7443016,261121,5192283,Fantasy,Based on Comic/Graphic Novel,Live Action,Action,65000000,19075290,55500000,19682330,,16271397,PG-13,for sequences of intense fantasy action and violence throughout.,Hopscotch Features,Lakeshore Entertainment,Lionsgate,1418377,108689,,,
142980100,Dracula Untold,0.397479068,10/10/14,10,Wide,Universal,Dracula-Untold,2014,92,0,23514615,2887,2900,11472,575926,9657972,402766,8602961,Fantasy,Based on Fiction Book/Short Story,Live Action,Action,70000000,55991880,160830062,57773749,,,PG-13,"for intense sequences of warfare, vampire attacks, disturbing images, and some sensuality.",Legendary Pictures,Relativity Media,Michael De Luca,829150,114795,,,
191600100,Deliver Us from Evil,0.412057266,7/2/14,7,Wide,Sony Pictures,Deliver-Us-From-Evil-(2014),2014,118,0,9740471,3049,3049,8051,220781,2996132,65601,1354610,Fantasy,Based on Factual Book/Article,Live Action,Horror,30000000,30577122,57379496,31550194,,,R,"for bloody violence, grisly images, terror throughout, and language.",Screen Gems,Jerry Bruckheimer Films,LStar Capital,2377322,112727,,,
143580100,Maleficent,0.414636924,5/30/14,5,Wide,Walt Disney,Maleficent,2013,97,0,69431298,3948,3948,29061,2257025,37015324,1982393,40954164,Fantasy,Spin-Off,Live Action,Adventure,180000000,241407328,517129407,249089809,,,PG,"for sequences of fantasy action and violence, including frightening images.",Roth Films,,,1587310,111659,,,
