,const,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
8135,1.0,-118.13,33.82,44.0,1619.0,280.0,815.0,284.0,5.5449,5.700704225352113,2.869718309859155,0.17294626312538605,0,0,0,0
18987,1.0,-121.94,38.37,14.0,1156.0,216.0,574.0,227.0,3.2396,5.092511013215859,2.5286343612334803,0.18685121107266436,1,0,0,0
4264,1.0,-118.31,34.1,40.0,4984.0,2158.0,4828.0,2028.0,1.6903,2.4575936883629192,2.380670611439842,0.43298555377207065,0,0,0,0
2062,1.0,-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,6.246246246246246,3.081081081081081,0.17548076923076922,1,0,0,0
14203,1.0,-117.05,32.69,8.0,831.0,158.0,740.0,154.0,5.3908,5.396103896103896,4.805194805194805,0.1901323706377858,0,0,0,1
4383,1.0,-118.27,34.09,52.0,1079.0,222.0,439.0,201.0,4.625,5.3681592039801,2.18407960199005,0.2057460611677479,0,0,0,0
13548,1.0,-117.31,34.13,35.0,1622.0,393.0,1296.0,362.0,1.9286,4.480662983425415,3.5801104972375692,0.24229346485819975,1,0,0,0
17974,1.0,-121.96,37.31,26.0,4310.0,678.0,1819.0,686.0,7.0469,6.282798833819242,2.651603498542274,0.15730858468677494,0,0,0,0
16475,1.0,-121.26,38.14,10.0,3371.0,665.0,1823.0,654.0,3.5333,5.154434250764526,2.787461773700306,0.19727083951349747,1,0,0,0
15116,1.0,-117.0,32.85,24.0,1888.0,319.0,950.0,319.0,5.282,5.918495297805642,2.9780564263322886,0.16896186440677965,0,0,0,0
19633,1.0,-120.89,37.54,30.0,509.0,115.0,275.0,115.0,2.2679,4.426086956521739,2.391304347826087,0.22593320235756384,1,0,0,0
13731,1.0,-117.18,34.05,52.0,1820.0,342.0,601.0,315.0,2.6129,5.777777777777778,1.907936507936508,0.1879120879120879,1,0,0,0
16125,1.0,-122.47,37.79,52.0,2844.0,623.0,1380.0,596.0,4.75,4.771812080536913,2.315436241610738,0.2190576652601969,0,0,1,0
8710,1.0,-118.35,33.85,35.0,1248.0,206.0,551.0,185.0,5.6426,6.745945945945946,2.9783783783783786,0.16506410256410256,0,0,0,0
17153,1.0,-122.21,37.43,33.0,1606.0,254.0,727.0,271.0,8.6963,5.92619926199262,2.6826568265682655,0.1581569115815691,0,0,0,1
18116,1.0,-122.02,37.3,32.0,2134.0,328.0,903.0,322.0,6.359,6.627329192546584,2.8043478260869565,0.15370196813495782,0,0,0,0
10706,1.0,-117.72,33.61,26.0,2653.0,621.0,774.0,584.0,2.49,4.542808219178082,1.3253424657534247,0.23407463249151902,0,0,0,0
19368,1.0,-122.93,38.38,18.0,2562.0,500.0,1128.0,414.0,3.9336,6.188405797101449,2.7246376811594204,0.195160031225605,0,0,0,0
6401,1.0,-118.06,34.13,28.0,12139.0,2873.0,5359.0,2731.0,3.292,4.444891980959356,1.9622848773343098,0.23667517917456132,1,0,0,0
11669,1.0,-118.01,33.86,29.0,2307.0,452.0,1218.0,402.0,3.4306,5.7388059701492535,3.029850746268657,0.19592544429995665,0,0,0,0
244,1.0,-122.22,37.78,44.0,2968.0,710.0,2269.0,610.0,2.3906,4.865573770491803,3.719672131147541,0.23921832884097036,0,0,1,0
17464,1.0,-119.88,34.42,22.0,2367.0,492.0,1333.0,488.0,3.6304,4.850409836065574,2.7315573770491803,0.20785804816223066,0,0,0,1
11201,1.0,-117.92,33.83,17.0,382.0,86.0,272.0,81.0,1.425,4.716049382716049,3.3580246913580245,0.225130890052356,0,0,0,0
11286,1.0,-117.95,33.79,34.0,2912.0,520.0,1625.0,501.0,4.4667,5.812375249500998,3.2435129740518964,0.17857142857142858,0,0,0,0
14219,1.0,-117.05,32.67,16.0,2168.0,343.0,1589.0,338.0,5.4863,6.414201183431953,4.701183431952662,0.15821033210332103,0,0,0,1
18459,1.0,-121.8,37.27,10.0,3301.0,593.0,2190.0,575.0,6.223,5.740869565217391,3.8086956521739133,0.17964253256588913,0,0,0,0
16547,1.0,-121.22,37.81,20.0,1811.0,352.0,1191.0,327.0,4.0125,5.538226299694189,3.6422018348623855,0.1943677526228603,1,0,0,0
19283,1.0,-122.73,38.4,30.0,3689.0,746.0,2250.0,697.0,2.975,5.2926829268292686,3.2281205164992826,0.20222282461371646,0,0,0,0
17751,1.0,-121.84,37.33,26.0,1934.0,408.0,2059.0,416.0,3.6765,4.649038461538462,4.949519230769231,0.2109617373319545,0,0,0,0
9507,1.0,-123.21,39.07,17.0,1890.0,342.0,877.0,312.0,3.7833,6.0576923076923075,2.8108974358974357,0.18095238095238095,0,0,0,0
1968,1.0,-120.7,38.69,13.0,4492.0,821.0,2093.0,734.0,4.0709,6.119891008174387,2.85149863760218,0.1827693677649154,1,0,0,0
5378,1.0,-118.39,34.03,28.0,1722.0,536.0,1161.0,481.0,3.2228,3.58004158004158,2.413721413721414,0.31126596980255516,0,0,0,0
8310,1.0,-118.12,33.77,20.0,4534.0,954.0,1941.0,892.0,6.0362,5.082959641255606,2.1760089686098656,0.21041023378914867,0,0,0,1
15452,1.0,-117.31,33.16,4.0,5846.0,894.0,2282.0,801.0,5.5956,7.298377028714107,2.848938826466916,0.1529250769757099,0,0,0,1
1160,1.0,-121.53,39.52,24.0,1028.0,185.0,471.0,186.0,2.9688,5.526881720430108,2.532258064516129,0.17996108949416342,1,0,0,0
15211,1.0,-117.09,32.99,18.0,3215.0,588.0,1618.0,509.0,4.6028,6.31630648330059,3.178781925343811,0.1828926905132193,0,0,0,0
14334,1.0,-117.16,32.72,27.0,1245.0,471.0,653.0,451.0,1.2668,2.7605321507760534,1.4478935698447895,0.3783132530120482,0,0,0,1
6239,1.0,-117.97,34.06,34.0,3580.0,684.0,2786.0,636.0,4.0469,5.628930817610063,4.380503144654088,0.19106145251396647,0,0,0,0
19195,1.0,-122.68,38.44,36.0,1311.0,259.0,648.0,268.0,3.4545,4.891791044776119,2.417910447761194,0.19755911517925248,0,0,0,0
3484,1.0,-118.54,34.28,18.0,5481.0,780.0,2477.0,764.0,6.7248,7.174083769633508,3.242146596858639,0.1423097974822113,0,0,0,0
