"","age","balance","campaign","contact","day","default","duration","education","housing","job","loan","marital","month","pdays","poutcome","previous","y"
"1",58,2143,1,"unknown",5,"no",261,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"2",44,29,1,"unknown",5,"no",151,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"3",33,2,1,"unknown",5,"no",76,"secondary","yes","entrepreneur","yes","married","may",-1,"unknown",0,"no"
"4",47,1506,1,"unknown",5,"no",92,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"5",33,1,1,"unknown",5,"no",198,"unknown","no","unknown","no","single","may",-1,"unknown",0,"no"
"6",35,231,1,"unknown",5,"no",139,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"7",28,447,1,"unknown",5,"no",217,"tertiary","yes","management","yes","single","may",-1,"unknown",0,"no"
"8",42,2,1,"unknown",5,"yes",380,"tertiary","yes","entrepreneur","no","divorced","may",-1,"unknown",0,"no"
"9",58,121,1,"unknown",5,"no",50,"primary","yes","retired","no","married","may",-1,"unknown",0,"no"
"12",29,390,1,"unknown",5,"no",137,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"14",58,71,1,"unknown",5,"no",71,"unknown","yes","technician","no","married","may",-1,"unknown",0,"no"
"15",57,162,1,"unknown",5,"no",174,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"16",51,229,1,"unknown",5,"no",353,"primary","yes","retired","no","married","may",-1,"unknown",0,"no"
"17",45,13,1,"unknown",5,"no",98,"unknown","yes","admin.","no","single","may",-1,"unknown",0,"no"
"18",57,52,1,"unknown",5,"no",38,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"20",33,0,1,"unknown",5,"no",54,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"22",56,779,1,"unknown",5,"no",164,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"23",32,23,1,"unknown",5,"no",160,"primary","yes","blue-collar","yes","single","may",-1,"unknown",0,"no"
