,,,,,,,,,,,,,,,,,,1517824,888272,28336,64064,3554320,661584,9166080,4065600,554400,2710400,86240,96096,22299.2,14784,8674512,73920,1232,519841,16583,37492,2080085,387177,5364240,2379300,324450,1586200,50470,56238,13050.1,8652,5076561,43260,721,529,1196,66355,12351,171120,75900,10350,50600,1610,1794,416.3,276,161943,1380,23,2704,150020,27924,386880,171600,23400,114400,3640,4056,941.2,624,366132,3120,52,8323225,1549245,21464400,9520500,1298250,6347000,201950,225030,52218.5,34620,20313285,173100,2885,288369,3995280,1772100,241650,1181400,37590,41886,9719.7,6444,3781017,32220,537,55353600,24552000,3348000,16368000,520800,580320,134664,89280,52385040,446400,7440,10890000,1485000,7260000,231000,257400,59730,39600,23235300,198000,3300,202500,990000,31500,35100,8145,5400,3168450,27000,450,4840000,154000,171600,39820,26400,15490200,132000,2200,4900,5460,1267,840,492870,4200,70,6084,1411.8,936,549198,4680,78,327.61,217.2,127442.1,1086,18.1,144,84492,720,12,49575681,422460,7041,3600,60,1
,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Private,Accept^2,Accept * Enroll,Accept*Top10perc,Accept*Top25perc,Accept*F.Undergrad,Accept*P.Undergrad,Accept*Outstate,Accept*Room.Board,Accept*Books,Accept*Personal,Accept*PhD,Accept*Terminal,Accept*S.F.Ratio,Accept*perc.alumni,Accept*Expend,Accept*Grad.Rate,Accept*Private,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170
0,1232,721,23,52,2885,537,7440,3300,450,2200,70,78,18.1,12,7041,60,1,1517824,888272,28336,64064,3554320,661584,9166080,4065600,554400,2710400,86240,96096,22299.2,14784,8674512,73920,1232,519841,16583,37492,2080085,387177,5364240,2379300,324450,1586200,50470,56238,13050.1,8652,5076561,43260,721,529,1196,66355,12351,171120,75900,10350,50600,1610,1794,416.3,276,161943,1380,23,2704,150020,27924,386880,171600,23400,114400,3640,4056,941.2,624,366132,3120,52,8323225,1549245,21464400,9520500,1298250,6347000,201950,225030,52218.5,34620,20313285,173100,2885,288369,3995280,1772100,241650,1181400,37590,41886,9719.7,6444,3781017,32220,537,55353600,24552000,3348000,16368000,520800,580320,134664,89280,52385040,446400,7440,10890000,1485000,7260000,231000,257400,59730,39600,23235300,198000,3300,202500,990000,31500,35100,8145,5400,3168450,27000,450,4840000,154000,171600,39820,26400,15490200,132000,2200,4900,5460,1267,840,492870,4200,70,6084,1411.8,936,549198,4680,78,327.61,217.2,127442.1,1086,18.1,144,84492,720,12,49575681,422460,7041,3600,60,1
1,1924,512,16,29,2683,1227,12280,6450,750,1500,29,30,12.2,16,10527,56,1,3701776,985088,30784,55796,5162092,2360748,23626720,12409800,1443000,2886000,55796,57720,23472.8,30784,20253948,107744,1924,262144,8192,14848,1373696,628224,6287360,3302400,384000,768000,14848,15360,6246.4,8192,5389824,28672,512,256,464,42928,19632,196480,103200,12000,24000,464,480,195.2,256,168432,896,16,841,77807,35583,356120,187050,21750,43500,841,870,353.8,464,305283,1624,29,7198489,3292041,32947240,17305350,2012250,4024500,77807,80490,32732.6,42928,28243941,150248,2683,1505529,15067560,7914150,920250,1840500,35583,36810,14969.4,19632,12916629,68712,1227,150798400,79206000,9210000,18420000,356120,368400,149816,196480,129271560,687680,12280,41602500,4837500,9675000,187050,193500,78690,103200,67899150,361200,6450,562500,1125000,21750,22500,9150,12000,7895250,42000,750,2250000,43500,45000,18300,24000,15790500,84000,1500,841,870,353.8,464,305283,1624,29,900,366,480,315810,1680,30,148.84,195.2,128429.4,683.2,12.2,256,168432,896,16,110817729,589512,10527,3136,56,1
2,1097,336,22,50,1036,99,11250,3750,400,1165,53,66,12.9,30,8735,54,1,1203409,368592,24134,54850,1136492,108603,12341250,4113750,438800,1278005,58141,72402,14151.3,32910,9582295,59238,1097,112896,7392,16800,348096,33264,3780000,1260000,134400,391440,17808,22176,4334.4,10080,2934960,18144,336,484,1100,22792,2178,247500,82500,8800,25630,1166,1452,283.8,660,192170,1188,22,2500,51800,4950,562500,187500,20000,58250,2650,3300,645,1500,436750,2700,50,1073296,102564,11655000,3885000,414400,1206940,54908,68376,13364.4,31080,9049460,55944,1036,9801,1113750,371250,39600,115335,5247,6534,1277.1,2970,864765,5346,99,126562500,42187500,4500000,13106250,596250,742500,145125,337500,98268750,607500,11250,14062500,1500000,4368750,198750,247500,48375,112500,32756250,202500,3750,160000,466000,21200,26400,5160,12000,3494000,21600,400,1357225,61745,76890,15028.5,34950,10176275,62910,1165,2809,3498,683.7,1590,462955,2862,53,4356,851.4,1980,576510,3564,66,166.41,387,112681.5,696.6,12.9,900,262050,1620,30,76300225,471690,8735,2916,54,1
3,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,1,121801,47813,20940,31061,177990,21987,4523040,1902050,157050,305375,32108,33853,2687.3,12913,6636584,20591,349,18769,8220,12193,69870,8631,1775520,746650,61650,119875,12604,13289,1054.9,5069,2605192,8083,137,3600,5340,30600,3780,777600,327000,27000,52500,5520,5820,462,2220,1140960,3540,60,7921,45390,5607,1153440,485050,40050,77875,8188,8633,685.3,3293,1692424,5251,89,260100,32130,6609600,2779500,229500,446250,46920,49470,3927,18870,9698160,30090,510,3969,816480,343350,28350,55125,5796,6111,485.1,2331,1198008,3717,63,167961600,70632000,5832000,11340000,1192320,1257120,99792,479520,246447360,764640,12960,29702500,2452500,4768750,501400,528650,41965,201650,103637200,321550,5450,202500,393750,41400,43650,3465,16650,8557200,26550,450,765625,80500,84875,6737.5,32375,16639000,51625,875,8464,8924,708.4,3404,1749472,5428,92,9409,746.9,3589,1844552,5723,97,59.29,284.9,146423.2,454.3,7.7,1369,703592,2183,37,361608256,1121944,19016,3481,59,1
4,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,1,21316,8030,2336,6424,36354,126874,1103760,601520,116800,219000,11096,10512,1737.4,292,1594612,2190,146,3025,880,2420,13695,47795,415800,226600,44000,82500,4180,3960,654.5,110,600710,825,55,256,704,3984,13904,120960,65920,12800,24000,1216,1152,190.4,32,174752,240,16,1936,10956,38236,332640,181280,35200,66000,3344,3168,523.6,88,480568,660,44,62001,216381,1882440,1025880,199200,373500,18924,17928,2963.1,498,2719578,3735,249,755161,6569640,3580280,695200,1303500,66044,62568,10341.1,1738,9491218,13035,869,57153600,31147200,6048000,11340000,574560,544320,89964,15120,82570320,113400,7560,16974400,3296000,6180000,313120,296640,49028,8240,44998640,61800,4120,640000,1200000,60800,57600,9520,1600,8737600,12000,800,2250000,114000,108000,17850,3000,16383000,22500,1500,5776,5472,904.4,152,830072,1140,76,5184,856.8,144,786384,1080,72,141.61,23.8,129971.8,178.5,11.9,4,21844,30,2,119290084,163830,10922,225,15,1
5,479,158,38,62,678,41,13500,3335,500,675,67,73,9.4,11,9727,55,1,229441,75682,18202,29698,324762,19639,6466500,1597465,239500,323325,32093,34967,4502.6,5269,4659233,26345,479,24964,6004,9796,107124,6478,2133000,526930,79000,106650,10586,11534,1485.2,1738,1536866,8690,158,1444,2356,25764,1558,513000,126730,19000,25650,2546,2774,357.2,418,369626,2090,38,3844,42036,2542,837000,206770,31000,41850,4154,4526,582.8,682,603074,3410,62,459684,27798,9153000,2261130,339000,457650,45426,49494,6373.2,7458,6594906,37290,678,1681,553500,136735,20500,27675,2747,2993,385.4,451,398807,2255,41,182250000,45022500,6750000,9112500,904500,985500,126900,148500,131314500,742500,13500,11122225,1667500,2251125,223445,243455,31349,36685,32439545,183425,3335,250000,337500,33500,36500,4700,5500,4863500,27500,500,455625,45225,49275,6345,7425,6565725,37125,675,4489,4891,629.8,737,651709,3685,67,5329,686.2,803,710071,4015,73,88.36,103.4,91433.8,517,9.4,121,106997,605,11,94614529,534985,9727,3025,55,1
6,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,1,115600,35020,5780,15300,141440,78200,4518600,1944800,170000,510000,30600,31620,3910,8840,3012740,21420,340,10609,1751,4635,42848,23690,1368870,589160,51500,154500,9270,9579,1184.5,2678,912683,6489,103,289,765,7072,3910,225930,97240,8500,25500,1530,1581,195.5,442,150637,1071,17,2025,18720,10350,598050,257400,22500,67500,4050,4185,517.5,1170,398745,2835,45,173056,95680,5528640,2379520,208000,624000,37440,38688,4784,10816,3686176,26208,416,52900,3056700,1315600,115000,345000,20700,21390,2645,5980,2038030,14490,230,176624100,76018800,6645000,19935000,1196100,1235970,152835,345540,117762690,837270,13290,32718400,2860000,8580000,514800,531960,65780,148720,50684920,360360,5720,250000,750000,45000,46500,5750,13000,4430500,31500,500,2250000,135000,139500,17250,39000,13291500,94500,1500,8100,8370,1035,2340,797490,5670,90,8649,1069.5,2418,824073,5859,93,132.25,299,101901.5,724.5,11.5,676,230386,1638,26,78517321,558243,8861,3969,63,1
7,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,1,2958400,841080,63640,116960,2741680,55040,23852960,8300720,774000,1462000,153080,172000,23564,63640,19757640,125560,1720,239121,18093,33252,779466,15648,6781452,2359914,220050,415650,43521,48900,6699.3,18093,5617143,35697,489,1369,2516,58978,1184,513116,178562,16650,31450,3293,3700,506.9,1369,425019,2701,37,4624,108392,2176,943024,328168,30600,57800,6052,6800,931.6,2516,781116,4964,68,2540836,51008,22105592,7692644,717300,1354900,141866,159400,21837.8,58978,18310278,116362,1594,1024,443776,154432,14400,27200,2848,3200,438.4,1184,367584,2336,32,192321424,66926968,6240600,11787800,1234252,1386800,189991.6,513116,159301716,1012364,13868,23290276,2171700,4102100,429514,482600,66116.2,178562,55436262,352298,4826,202500,382500,40050,45000,6165,16650,5169150,32850,450,722500,75650,85000,11645,31450,9763950,62050,850,7921,8900,1219.3,3293,1022343,6497,89,10000,1370,3700,1148700,7300,100,187.69,506.9,157371.9,1000.1,13.7,1369,425019,2701,37,131951169,838551,11487,5329,73,1
8,839,227,30,63,973,306,15595,4400,300,500,79,84,11.3,23,11644,80,1,703921,190453,25170,52857,816347,256734,13084205,3691600,251700,419500,66281,70476,9480.7,19297,9769316,67120,839,51529,6810,14301,220871,69462,3540065,998800,68100,113500,17933,19068,2565.1,5221,2643188,18160,227,900,1890,29190,9180,467850,132000,9000,15000,2370,2520,339,690,349320,2400,30,3969,61299,19278,982485,277200,18900,31500,4977,5292,711.9,1449,733572,5040,63,946729,297738,15173935,4281200,291900,486500,76867,81732,10994.9,22379,11329612,77840,973,93636,4772070,1346400,91800,153000,24174,25704,3457.8,7038,3563064,24480,306,243204025,68618000,4678500,7797500,1232005,1309980,176223.5,358685,181588180,1247600,15595,19360000,1320000,2200000,347600,369600,49720,101200,51233600,352000,4400,90000,150000,23700,25200,3390,6900,3493200,24000,300,250000,39500,42000,5650,11500,5822000,40000,500,6241,6636,892.7,1817,919876,6320,79,7056,949.2,1932,978096,6720,84,127.69,259.9,131577.2,904,11.3,529,267812,1840,23,135582736,931520,11644,6400,80,1
