,Region,Country,State,City,Month,Day,Year,AvgTemperature
9132,Africa,Algeria,,Algiers,1,1,2020,46.3
9133,Africa,Algeria,,Algiers,1,2,2020,45.4
9134,Africa,Algeria,,Algiers,1,3,2020,48.0
9135,Africa,Algeria,,Algiers,1,4,2020,53.4
9136,Africa,Algeria,,Algiers,1,5,2020,47.3
9137,Africa,Algeria,,Algiers,1,6,2020,45.9
9138,Africa,Algeria,,Algiers,1,7,2020,47.0
9139,Africa,Algeria,,Algiers,1,8,2020,53.2
9140,Africa,Algeria,,Algiers,1,9,2020,52.9
9141,Africa,Algeria,,Algiers,1,10,2020,52.4
9142,Africa,Algeria,,Algiers,1,11,2020,49.7
9143,Africa,Algeria,,Algiers,1,12,2020,49.8
9144,Africa,Algeria,,Algiers,1,13,2020,50.6
9145,Africa,Algeria,,Algiers,1,14,2020,46.7
9146,Africa,Algeria,,Algiers,1,15,2020,45.7
9147,Africa,Algeria,,Algiers,1,16,2020,46.6
9148,Africa,Algeria,,Algiers,1,17,2020,48.7
9149,Africa,Algeria,,Algiers,1,18,2020,50.1
9150,Africa,Algeria,,Algiers,1,19,2020,53.5
9151,Africa,Algeria,,Algiers,1,20,2020,54.3
9152,Africa,Algeria,,Algiers,1,21,2020,59.3
9153,Africa,Algeria,,Algiers,1,22,2020,59.2
9154,Africa,Algeria,,Algiers,1,23,2020,53.4
9155,Africa,Algeria,,Algiers,1,24,2020,49.8
9156,Africa,Algeria,,Algiers,1,25,2020,56.6
9157,Africa,Algeria,,Algiers,1,26,2020,54.1
9158,Africa,Algeria,,Algiers,1,27,2020,53.7
9159,Africa,Algeria,,Algiers,1,28,2020,52.7
9160,Africa,Algeria,,Algiers,1,29,2020,55.0
9161,Africa,Algeria,,Algiers,1,30,2020,52.4
9162,Africa,Algeria,,Algiers,1,31,2020,54.5
9163,Africa,Algeria,,Algiers,2,1,2020,55.5
9164,Africa,Algeria,,Algiers,2,2,2020,57.1
9165,Africa,Algeria,,Algiers,2,3,2020,56.5
9166,Africa,Algeria,,Algiers,2,4,2020,59.8
9167,Africa,Algeria,,Algiers,2,5,2020,54.0
9168,Africa,Algeria,,Algiers,2,6,2020,48.1
9169,Africa,Algeria,,Algiers,2,7,2020,51.0
9170,Africa,Algeria,,Algiers,2,8,2020,56.9
9171,Africa,Algeria,,Algiers,2,9,2020,55.8
9172,Africa,Algeria,,Algiers,2,10,2020,55.7
9173,Africa,Algeria,,Algiers,2,11,2020,55.4
9174,Africa,Algeria,,Algiers,2,12,2020,53.9
9175,Africa,Algeria,,Algiers,2,13,2020,56.7
9176,Africa,Algeria,,Algiers,2,14,2020,56.0
9177,Africa,Algeria,,Algiers,2,15,2020,54.7
9178,Africa,Algeria,,Algiers,2,16,2020,58.5
9179,Africa,Algeria,,Algiers,2,17,2020,55.0
9180,Africa,Algeria,,Algiers,2,18,2020,58.7
9181,Africa,Algeria,,Algiers,2,19,2020,56.8
9182,Africa,Algeria,,Algiers,2,20,2020,51.0
9183,Africa,Algeria,,Algiers,2,21,2020,51.8
9184,Africa,Algeria,,Algiers,2,22,2020,50.9
9185,Africa,Algeria,,Algiers,2,23,2020,51.7
9186,Africa,Algeria,,Algiers,2,24,2020,53.0
9187,Africa,Algeria,,Algiers,2,25,2020,58.0
9188,Africa,Algeria,,Algiers,2,26,2020,57.8
9189,Africa,Algeria,,Algiers,2,27,2020,57.4
9190,Africa,Algeria,,Algiers,2,28,2020,57.6
9191,Africa,Algeria,,Algiers,2,29,2020,59.5
9192,Africa,Algeria,,Algiers,3,1,2020,60.5
9193,Africa,Algeria,,Algiers,3,2,2020,61.8
9194,Africa,Algeria,,Algiers,3,3,2020,58.4
9195,Africa,Algeria,,Algiers,3,4,2020,63.7
9196,Africa,Algeria,,Algiers,3,5,2020,59.6
9197,Africa,Algeria,,Algiers,3,6,2020,61.3
9198,Africa,Algeria,,Algiers,3,7,2020,55.7
9199,Africa,Algeria,,Algiers,3,8,2020,53.1
9200,Africa,Algeria,,Algiers,3,9,2020,55.8
9201,Africa,Algeria,,Algiers,3,10,2020,56.1
9202,Africa,Algeria,,Algiers,3,11,2020,57.7
9203,Africa,Algeria,,Algiers,3,12,2020,63.7
9204,Africa,Algeria,,Algiers,3,13,2020,66.1
9205,Africa,Algeria,,Algiers,3,14,2020,60.6
9206,Africa,Algeria,,Algiers,3,15,2020,58.6
9207,Africa,Algeria,,Algiers,3,16,2020,61.6
9208,Africa,Algeria,,Algiers,3,17,2020,60.3
9209,Africa,Algeria,,Algiers,3,18,2020,61.6
9210,Africa,Algeria,,Algiers,3,19,2020,61.8
9211,Africa,Algeria,,Algiers,3,20,2020,60.9
9212,Africa,Algeria,,Algiers,3,21,2020,60.8
9213,Africa,Algeria,,Algiers,3,22,2020,59.2
9214,Africa,Algeria,,Algiers,3,23,2020,58.6
9215,Africa,Algeria,,Algiers,3,24,2020,59.0
9216,Africa,Algeria,,Algiers,3,25,2020,53.2
9217,Africa,Algeria,,Algiers,3,26,2020,51.2
9218,Africa,Algeria,,Algiers,3,27,2020,54.9
9219,Africa,Algeria,,Algiers,3,28,2020,53.7
9220,Africa,Algeria,,Algiers,3,29,2020,54.9
9221,Africa,Algeria,,Algiers,3,30,2020,56.7
9222,Africa,Algeria,,Algiers,3,31,2020,68.0
9223,Africa,Algeria,,Algiers,4,1,2020,60.9
9224,Africa,Algeria,,Algiers,4,2,2020,58.4
9225,Africa,Algeria,,Algiers,4,3,2020,55.6
9226,Africa,Algeria,,Algiers,4,4,2020,57.2
9227,Africa,Algeria,,Algiers,4,5,2020,56.5
9228,Africa,Algeria,,Algiers,4,6,2020,58.2
9229,Africa,Algeria,,Algiers,4,7,2020,57.7
9230,Africa,Algeria,,Algiers,4,8,2020,58.0
9231,Africa,Algeria,,Algiers,4,9,2020,60.2
9232,Africa,Algeria,,Algiers,4,10,2020,59.9
9233,Africa,Algeria,,Algiers,4,11,2020,60.9
9234,Africa,Algeria,,Algiers,4,12,2020,65.9
9235,Africa,Algeria,,Algiers,4,13,2020,69.2
9236,Africa,Algeria,,Algiers,4,14,2020,62.3
9237,Africa,Algeria,,Algiers,4,15,2020,65.2
9238,Africa,Algeria,,Algiers,4,16,2020,64.0
9239,Africa,Algeria,,Algiers,4,17,2020,66.2
