Stock	IBM	XOM	GE	MSFT	C	BAC	BP	PG	PFE	JNJ
IBM	6.767369629	-2.520731956	1.269446364	3.179452307	-0.41034375	-3.133160297	0.913850139	1.10916305	0.963070936	-2.159744382
XOM	-2.520731956	6.86176769	-0.530105679	-0.85614784	1.071717434	4.221718088	4.867420429	0.037386466	0.625382804	1.295764604
GE	1.269446364	-0.530105679	0.585169945	-0.027693144	0.601940132	0.204006787	0.477021364	-0.487989162	-0.11194169	0.133372057
MSFT	3.179452307	-0.85614784	-0.027693144	3.886260868	-1.976308882	-3.467663128	-0.951767348	2.766403623	1.185039781	-1.75198183
C	-0.41034375	1.071717434	0.601940132	-1.976308882	2.067534211	2.793128618	2.050175658	-1.823749013	-0.512500987	1.129828947
BAC	-3.133160297	4.221718088	0.204006787	-3.467663128	2.793128618	6.111154566	3.246646364	-2.181539902	-0.407776147	2.780929458
BP	0.913850139	4.867420429	0.477021364	-0.951767348	2.050175658	3.246646364	7.651075139	-1.820452493	0.102474307	-0.509563296
PG	1.10916305	0.037386466	-0.487989162	2.766403623	-1.823749013	-2.181539902	-1.820452493	3.801766997	1.401009094	-0.948433198
PFE	0.963070936	0.625382804	-0.11194169	1.185039781	-0.512500987	-0.407776147	0.102474307	1.401009094	1.022143347	-0.506330064
JNJ	-2.159744382	1.295764604	0.133372057	-1.75198183	1.129828947	2.780929458	-0.509563296	-0.948433198	-0.506330064	3.140278099
Proj. Return	0.08	0.09	0.03	0.04	0.045	0.045	0.052	0.062	0.08	0.053
