home_ownership,income,dti,fico_low,loan_status
1,127,10.94,675,0
1,197,15.64,710,0
1,25.5,28.75,670,0
1,80,20.16,660,0
0,57,30.6,675,0
1,102.212,17.33,665,0
0,40,17.73,675,0
0,78,29.57,675,0
0,100,12.72,690,0
1,27.6,9.35,740,0
0,35,13.17,695,0
0,45,16.8,660,0
1,100,3.2,750,0
1,65,28.53,680,0
1,33,6.07,695,0
1,42,5.57,670,0
1,87,2.97,660,0
1,29,15.52,675,0
0,120,21.47,740,0
1,36.7,22.92,715,0
1,53.5,13.23,700,0
0,41,24.73,670,0
1,53,13.09,675,0
1,65,19.41,660,0
1,165,24.31,715,0
0,48,7.05,660,0
1,68,11.07,680,0
0,77.653,12.94,670,0
0,65,18.21,660,0
1,50,28.04,690,0
0,29,15.36,700,0
1,50,10.08,675,0
1,45.76,9.15,670,0
0,48.396,28.42,670,0
0,46,17.78,685,0
0,43.6,46.08,665,0
1,290,18.12,700,0
1,178,3.07,670,0
0,48.16,22.08,695,0
0,70,27.14,750,0
1,47,21.02,680,0
0,58,23.96,685,0
0,50,23.31,685,0
0,100,9.14,745,0
1,65,21.98,685,0
0,69,19.98,675,0
1,55,15.19,690,0
0,130,12.77,675,0
1,65.21,30.66,690,0
1,50,13.35,660,0
0,85,20.63,660,0
0,45,20.56,660,0
1,65,5.71,660,0
0,39,27.08,660,0
0,118,28.81,680,0
0,23.92,6.72,690,0
0,90,2.63,675,0
0,51,9.76,725,0
1,70,15.05,670,0
0,235,21.81,695,0
1,86,9.45,700,0
1,100,12.88,685,0
1,75,11.46,700,0
0,32,19.32,690,0
0,28,26.14,665,0
1,51,15.88,705,0
1,200,4.18,735,0
0,55,39.43,680,0
0,75,5.93,685,0
0,65,21.25,660,0
0,103,24.79,675,0
0,32.186,22.67,680,0
0,56.42,11.95,720,0
0,36,14.8,715,0
0,125,6.71,755,0
1,84,14.04,665,0
0,38,13.87,665,0
0,55,28.19,685,0
0,100,33.03,680,0
1,40,6.42,680,0
1,135,10.74,685,0
1,108,19.67,690,0
0,100,20.95,760,0
0,30,14.8,690,0
1,54,26.82,675,0
0,40,10.41,660,0
1,10,9,665,0
0,52,31.69,690,0
1,67,28.86,685,0
1,100,30.58,720,0
1,50,20.52,670,0
0,42,20.29,660,0
0,85,20.57,675,0
1,31,25.44,675,0
1,67.18352,8.02,685,0
1,70,25.13,680,0
0,40,22.65,685,0
1,26,20.78,725,0
0,31,17.23,695,0
