home_ownership,income,dti,fico_low,loan_status
1,44.304,18.47,690,0
0,38.5,33.73,660,0
1,54,19,660,0
1,60,33.98,695,0
0,39.354,10.85,685,0
1,72.52,20.5,665,0
1,120,27.31,665,0
0,89,0.38,750,0
1,135.41,39.37,695,0
1,54,15.96,705,0
1,19.2,20.38,675,0
1,60,18.58,705,0
0,38,18.26,705,0
1,90,16.07,705,0
1,48,21.38,740,0
0,48,22.45,670,0
1,50,20.23,685,0
0,74,19.61,685,0
1,68,34.06,680,0
1,62,20.62,680,0
1,52,11.82,715,0
1,130,9.23,710,0
0,61.992,15.91,660,0
0,60,16.66,675,0
1,137.5,29.14,730,0
1,115,11.58,685,0
0,49,25.96,680,0
1,170,13.77,675,0
0,33,31.82,665,0
1,75,21.04,665,0
1,85,12.45,720,0
0,42,12.37,675,0
0,150,9.91,660,0
1,100,13.86,705,0
1,92,15.01,675,0
0,67,26.92,680,0
0,68,23.63,670,0
1,31,11.65,685,0
0,140,13.39,670,0
1,52,23.1,680,0
1,70,25,685,0
0,46,14.32,675,0
1,22.8,23.63,680,0
1,145,12.31,690,0
0,48,15.3,690,0
0,55,22.76,675,0
0,80,26.94,680,0
0,50,6.7,680,0
1,64,22.6,700,0
1,135,14.97,680,0
1,30,19.88,675,0
0,55,24.31,675,0
0,71,21.16,675,0
1,110,15.28,685,0
0,60.32,17.67,680,0
0,80,24.44,665,0
1,69.1,9.41,670,0
0,20.8,14.85,690,0
0,45,22.05,670,0
0,47,29.78,675,0
0,44.136,27.62,735,0
1,609,1.58,665,0
1,144,26.64,700,0
1,85,18.8,740,0
0,50,30.69,660,0
0,55,12.9,675,0
1,75,32.22,680,0
1,175,9.95,705,0
1,45,9.68,665,0
0,46,24.97,665,0
1,88,14.63,700,0
1,85,38.08,660,0
1,64,34.2,660,0
0,60,15.42,670,0
0,119,18.13,680,0
0,45,18.91,680,0
1,88,24.87,745,0
1,58,21.77,695,0
1,39,27.63,675,0
0,84,9.11,670,0
0,100,10.64,685,0
1,25,10.85,680,0
0,104,29.89,705,0
1,67,13.8,670,0
1,93,37.44,675,0
1,94,15.84,670,0
0,56,22.52,670,0
0,53,16.92,675,0
0,40,26.07,750,0
1,55,25.25,695,0
1,36,10.13,690,0
1,78,13.6,670,0
1,50,6.94,720,0
0,36,39.5,680,0
0,60,30.16,670,0
0,53,17.26,660,0
1,57,22.48,695,0
0,55,29.37,705,0
0,26.4,22.77,670,0
0,60,15.66,690,0
1,39.52,20.71,690,0
1,59,34.24,715,0
0,47,37.56,665,0
1,48.5,23.73,675,0
0,50,17.47,670,0
0,80,24.72,700,0
1,63.7,13.56,775,0
1,100,21.67,675,0
1,69,17.84,690,0
1,63.528,25.67,665,0
1,50,22.49,670,0
1,142.3,13.6,660,0
1,75,32.89,705,0
0,45,17.49,700,0
1,87,30.08,695,0
1,38,18.7,665,0
1,66,28.2,675,0
1,145,16.15,695,0
1,100,22.38,660,0
0,107,20.49,670,0
1,27,2.22,675,0
1,64,7.97,680,0
0,42,28.51,755,0
0,56.875,13.74,675,0
1,69.99326,12.93,700,0
0,110,8.42,660,0
1,51,19.69,660,0
1,56,20.38,665,0
0,34.4864,6.86,665,0
0,30,27.17,665,0
