,0
0,0
1,0
2,0
3,3
4,3
5,1
6,2
7,0
8,1
9,1
10,1
11,0
12,2
13,1
14,2
15,0
16,1
17,0
18,0
19,3
20,3
21,0
22,1
23,0
24,0
25,0
26,0
27,2
28,1
29,0
30,1
31,0
32,0
33,0
34,1
35,1
36,3
37,3
38,0
39,1
40,3
41,1
42,2
43,1
44,0
45,0
46,1
47,2
48,2
49,0
50,2
51,2
52,2
53,0
54,0
55,2
56,0
57,3
58,0
59,2
60,2
61,1
62,1
63,0
64,0
65,1
66,3
67,0
68,0
69,1
70,0
71,0
72,2
73,1
74,0
75,0
76,0
77,0
78,2
79,2
80,1
81,1
82,0
83,1
84,2
85,0
86,2
87,1
88,1
89,0
90,2
91,0
92,0
93,3
94,0
95,1
96,0
97,0
98,0
99,0
100,0
101,2
102,0
103,2
104,1
105,3
106,2
107,0
108,3
109,2
110,1
111,0
112,3
113,1
114,3
115,0
116,0
117,2
118,2
119,1
120,1
121,1
122,0
123,2
124,3
125,0
126,2
127,3
128,1
129,1
130,2
131,0
132,0
133,0
134,1
135,1
136,3
137,0
138,2
139,2
140,1
141,0
142,3
143,0
144,1
145,0
146,1
147,0
148,3
149,3
150,2
151,1
152,0
153,1
154,1
155,2
156,2
157,1
158,3
159,1
160,0
161,0
162,0
163,1
164,1
165,3
166,1
167,1
168,2
169,0
170,0
171,1
172,0
173,3
174,2
175,1
176,0
177,2
178,3
179,1
180,0
181,2
182,0
183,3
184,1
185,1
186,2
187,1
188,3
189,3
190,1
191,2
192,1
193,1
194,2
195,1
196,2
197,1
198,0
199,3
200,2
201,0
202,2
203,1
204,0
205,3
206,2
207,1
208,1
209,0
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,2
219,0
220,0
221,0
222,1
223,1
224,2
225,0
226,1
227,0
228,1
229,2
230,3
231,3
232,2
233,0
234,1
235,0
236,0
237,3
238,3
239,1
240,0
241,2
242,1
243,1
244,3
245,1
246,1
247,2
248,2
249,1
250,1
251,1
252,2
253,3
254,3
255,1
256,1
257,1
258,1
259,0
260,3
261,1
262,3
263,3
264,0
265,1
266,1
267,0
268,0
269,1
270,0
271,0
272,0
273,3
274,3
275,2
276,2
277,1
278,0
279,2
280,0
281,0
282,3
283,0
284,0
285,1
286,0
287,2
288,0
289,0
290,1
291,1
292,1
293,0
294,0
295,2
296,2
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,2
310,2
311,2
312,1
313,0
314,1
315,2
316,0
317,0
318,3
319,1
320,0
321,0
322,1
323,1
324,1
325,0
326,0
327,1
328,1
329,3
330,0
331,1
332,2
333,1
334,0
335,0
336,2
337,1
338,1
339,2
340,0
341,1
342,0
343,0
344,0
345,3
346,1
347,1
348,0
349,3
350,1
351,3
352,3
353,0
354,0
355,1
356,3
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,1
365,0
366,1
367,1
368,0
369,2
370,0
371,2
372,1
373,0
374,2
375,0
376,1
377,1
378,1
379,1
380,0
381,0
382,0
383,3
384,1
385,1
386,3
387,0
388,1
389,1
390,1
391,0
392,1
393,0
394,0
395,0
396,1
397,0
398,1
399,1
400,0
401,0
402,3
403,0
404,0
405,2
406,1
407,3
408,0
409,3
410,3
411,3
412,1
413,1
414,1
415,0
416,2
417,3
418,0
419,0
420,3
421,0
422,0
423,1
424,0
425,0
426,0
427,1
428,0
429,0
430,3
431,0
432,1
433,3
434,0
435,3
436,3
437,0
438,2
439,0
440,0
441,0
442,0
443,1
444,0
445,1
446,3
447,0
448,0
449,1
450,0
451,2
452,2
453,2
454,0
455,0
456,0
457,0
458,2
459,1
460,0
461,1
462,0
463,1
464,0
465,0
466,1
467,1
468,3
469,3
470,0
471,1
472,1
473,3
474,0
475,0
476,0
477,1
478,1
479,2
480,1
481,0
482,1
483,1
484,1
485,3
486,0
487,3
488,0
489,1
490,0
491,0
492,0
493,1
494,2
495,1
496,1
497,3
498,0
499,1
500,0
501,0
502,2
503,1
504,2
505,1
506,1
507,0
508,0
509,1
510,1
511,1
512,2
513,0
514,0
515,0
516,1
517,0
518,1
519,0
520,0
521,3
522,0
523,0
524,3
525,1
526,0
527,0
528,1
529,2
530,1
531,0
532,0
