,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,out_prncp,tot_cur_bal,bc_util,funded_amnt_inv,inq_last_6mths,pct_tl_nvr_dlq,total_acc,sub_grade,acc_now_delinq,tot_coll_amt,default,loan_length,term_num,label,cr_hist
54663,6895102,25150.0,25150.0, 36 months,10.64,819.1,B,,MORTGAGE,70000.0,Verified,2013-09-01,Fully Paid,debt_consolidation,13.02,0.0,2005-04-01,10.0,0.0,14133.0,38.1,27136.4095277648,2014-07-01,0.0,0.0,241279.0,46.7,25125.0,0.0,93.0,16.0,B2,0.0,1432.0,0,9.955029877410214,36,0,101.02876855787594
47595,7305464,7950.0,7950.0, 36 months,11.99,264.02,B,9 years,RENT,35000.0,Not Verified,2013-09-01,Fully Paid,debt_consolidation,26.54,0.0,2006-03-01,10.0,0.0,2405.0,14.3,8029.497121839399,2013-10-01,0.0,0.0,21218.0,61.8,7950.0,1.0,100.0,20.0,B3,0.0,0.0,0,0.9856465225158627,36,0,90.055237273866
380532,13048033,33300.0,33300.0, 36 months,9.67,1069.35,B,10+ years,MORTGAGE,150000.0,Verified,2014-03-01,Fully Paid,home_improvement,24.41,1.0,1986-04-01,22.0,0.0,15017.0,22.8,34576.6424048963,2014-08-01,0.0,0.0,452108.0,32.7,33300.0,1.0,98.0,50.0,B1,0.0,0.0,0,5.0267972648309,36,0,334.9883981190579
230493,32108392,4000.0,4000.0, 36 months,13.35,135.46,C,9 years,MORTGAGE,120000.0,Not Verified,2014-10-01,Fully Paid,medical,27.27,3.0,1993-02-01,8.0,0.0,33235.0,98.0,4516.62,2015-11-01,0.0,0.0,292318.0,99.6,4000.0,0.0,91.2,34.0,C2,0.0,0.0,0,13.010534097209389,36,0,259.94784287151685
120663,3380291,6250.0,6250.0, 36 months,15.8,219.12,C,1 year,RENT,22000.0,Not Verified,2013-02-01,Charged Off,debt_consolidation,17.4,0.0,2007-06-01,7.0,0.0,4846.0,55.1,4436.55,2014-08-01,500.07,0.0,7999.0,88.2,6250.0,0.0,100.0,14.0,C3,0.0,0.0,1,17.938766709788702,36,1,68.07531982176225
369448,13827654,21000.0,21000.0, 36 months,10.99,687.42,B,10+ years,MORTGAGE,110000.0,Not Verified,2014-04-01,Fully Paid,debt_consolidation,22.91,0.0,1999-12-01,13.0,0.0,51715.0,64.4,23570.24,2015-08-01,0.0,0.0,411667.0,76.8,21000.0,2.0,100.0,25.0,B2,0.0,0.0,0,16.000328548840837,36,0,171.99531817901806
419402,10083031,9600.0,9600.0, 36 months,11.99,318.82,B,4 years,OWN,36200.0,Not Verified,2014-01-01,Fully Paid,debt_consolidation,16.21,0.0,2006-04-01,21.0,0.0,11647.0,48.5,10869.9200033046,2015-05-01,0.0,0.0,38271.0,43.7,9600.0,1.0,100.0,26.0,B3,0.0,0.0,0,15.934618780673114,36,0,93.04503172549744
37880,7706265,3600.0,3600.0, 36 months,17.1,128.53,C,2 years,MORTGAGE,40000.0,Source Verified,2013-10-01,Fully Paid,debt_consolidation,7.11,1.0,2003-01-01,10.0,0.0,7360.0,64.0,3890.9750654629,2014-04-01,0.0,0.0,150414.0,81.2,3600.0,1.0,93.0,16.0,C5,0.0,88.0,0,5.979588903262901,36,0,128.98827491324258
128587,3152837,10000.0,10000.0, 36 months,18.75,365.3,D,10+ years,MORTGAGE,40000.0,Verified,2013-01-01,Charged Off,other,31.11,0.0,2000-11-01,15.0,0.0,18740.0,93.2,7640.4,2014-07-01,1438.1,0.0,145293.0,94.0,10000.0,1.0,100.0,30.0,D3,0.0,0.0,1,17.938766709788702,36,1,146.00710486868314
4244,9807674,20000.0,20000.0, 60 months,13.53,460.51,B,< 1 year,RENT,100000.0,Source Verified,2013-12-01,Fully Paid,debt_consolidation,13.67,0.0,2001-01-01,13.0,0.0,10573.0,48.1,24126.1299999914,2015-08-01,0.0,0.0,62746.0,44.6,20000.0,0.0,100.0,25.0,B5,0.0,0.0,0,19.975769522988152,60,0,154.9764882235775
