,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,out_prncp,tot_cur_bal,bc_util,funded_amnt_inv,inq_last_6mths,pct_tl_nvr_dlq,total_acc,sub_grade,acc_now_delinq,tot_coll_amt,default,loan_length,term_num,label,cr_hist
135640,2486592,10000.0,10000.0, 36 months,13.11,337.47,B,4 years,MORTGAGE,65000.0,Not Verified,2012-12-01,Charged Off,debt_consolidation,14.34,2.0,1998-08-01,7.0,0.0,5801.0,86.6,8338.5,2014-12-01,591.81,0.0,90608.0,96.7,10000.0,0.0,94.0,38.0,B4,0.0,0.0,1,23.984065381219327,36,1,172.02817306310192
306964,20812053,8000.0,8000.0, 36 months,16.29,282.41,D,8 years,RENT,27000.0,Source Verified,2014-07-01,Charged Off,debt_consolidation,26.58,0.0,2001-02-01,11.0,0.0,4711.0,51.2,1129.64,2014-11-01,0.0,0.0,22265.0,82.8,8000.0,3.0,81.0,21.0,D2,0.0,305.0,1,4.041150742315037,36,1,160.92322224275654
88,10109587,13225.0,13225.0, 36 months,13.98,451.88,C,< 1 year,RENT,30192.0,Not Verified,2013-12-01,Charged Off,debt_consolidation,27.98,0.0,1998-04-01,12.0,1.0,19091.0,78.6,4970.68,2014-12-01,0.0,0.0,25510.0,86.1,13225.0,0.0,100.0,21.0,C1,0.0,0.0,1,11.992032690609664,36,1,188.02850161194274
101733,4584693,30000.0,30000.0, 60 months,20.49,803.02,E,10+ years,MORTGAGE,78000.0,Verified,2013-05-01,Charged Off,credit_card,16.89,2.0,1999-11-01,14.0,0.0,22026.0,66.7,24933.77,2015-12-01,23.67,0.0,35367.0,77.2,29975.0,0.0,90.0,31.0,E1,0.0,0.0,1,31.015010575165814,60,1,161.9745785334401
52822,7065080,18850.0,18850.0, 36 months,12.35,629.25,B,10+ years,MORTGAGE,75000.0,Not Verified,2013-09-01,Charged Off,debt_consolidation,17.5,0.0,1999-02-01,18.0,0.0,12108.0,58.8,5656.5,2014-06-01,0.0,0.0,175445.0,95.2,18850.0,1.0,92.0,26.0,B4,0.0,0.0,1,8.969383354894351,36,1,174.9851126306495
34316,8014970,13750.0,13750.0, 60 months,15.1,327.84,C,7 years,MORTGAGE,60000.0,Source Verified,2013-10-01,Charged Off,debt_consolidation,13.76,0.0,2006-09-01,9.0,0.0,9465.0,83.0,5573.0,2015-03-01,0.0,0.0,151335.0,80.8,13750.0,0.0,100.0,19.0,C2,0.0,74.0,1,16.95312018727284,60,1,84.99558512495123
66299,6577647,10975.0,10975.0, 36 months,12.35,366.37,B,5 years,MORTGAGE,95000.0,Not Verified,2013-08-01,Charged Off,credit_card,17.42,0.0,2006-06-01,9.0,0.0,7399.0,67.9,3180.72,2014-01-01,1349.27,0.0,256340.0,49.4,10975.0,0.0,94.0,17.0,B4,0.0,0.0,1,5.0267972648309,36,1,86.01408653155096
114417,3695940,8325.0,8325.0, 36 months,17.27,297.93,C,7 years,MORTGAGE,25000.0,Not Verified,2013-03-01,Charged Off,debt_consolidation,17.23,2.0,1999-04-01,24.0,0.0,7488.0,64.6,8952.9,2015-09-01,11.0,0.0,85921.0,79.5,8325.0,1.0,95.0,48.0,C5,0.0,0.0,1,30.029364052649953,36,1,167.001375798271
129512,3147923,21275.0,21275.0, 60 months,17.27,531.84,C,7 years,RENT,87850.0,Source Verified,2013-02-01,Charged Off,debt_consolidation,13.29,0.0,2005-12-01,9.0,0.0,23162.0,58.2,15423.36,2015-07-01,10.2,0.0,29480.0,58.5,21275.0,1.0,100.0,18.0,C5,0.0,0.0,1,28.912297993798642,60,1,86.04694141563482
211761,34662972,8000.0,8000.0, 36 months,11.44,263.58,B,< 1 year,MORTGAGE,23000.0,Source Verified,2014-11-01,Charged Off,debt_consolidation,2.61,0.0,1999-08-01,11.0,0.0,555.0,4.2,3416.37,2015-12-01,0.0,0.0,555.0,0.5,8000.0,0.0,92.3,26.0,B4,0.0,0.0,1,12.977679213125526,36,1,183.03455923119571
136363,2372952,14000.0,14000.0, 36 months,11.14,459.28,B,2 years,MORTGAGE,85000.0,Not Verified,2012-12-01,Charged Off,credit_card,6.21,0.0,2006-08-01,20.0,0.0,9848.0,35.7,14584.96,2015-08-01,347.28,0.0,165855.0,39.8,14000.0,2.0,91.0,37.0,B2,0.0,72.0,1,31.967802213597814,36,1,76.02620177005689
290259,22374479,35000.0,35000.0, 60 months,24.08,1008.51,F,1 year,MORTGAGE,130000.0,Verified,2014-08-01,Charged Off,debt_consolidation,18.0,1.0,2002-04-01,17.0,0.0,22864.0,51.4,11265.05,2015-01-01,6222.5,0.0,430191.0,91.4,34975.0,1.0,90.5,21.0,F2,0.0,0.0,1,5.0267972648309,60,1,148.01125279779873
72597,6234736,11200.0,11200.0, 36 months,11.55,369.6,B,5 years,MORTGAGE,50000.0,Source Verified,2013-07-01,Charged Off,debt_consolidation,10.92,1.0,2005-06-01,13.0,0.0,5390.0,31.0,8984.16,2015-05-01,857.02,0.0,195576.0,29.0,11200.0,2.0,90.0,32.0,B3,0.0,1228.0,1,21.979917452103738,36,1,96.9876178155609
375489,13366576,10000.0,10000.0, 60 months,17.57,251.61,D,,RENT,31000.0,Verified,2014-03-01,Charged Off,debt_consolidation,9.18,0.0,1996-10-01,6.0,0.0,9399.0,78.3,1761.27,2014-11-01,0.0,0.0,9399.0,93.8,10000.0,0.0,100.0,15.0,D2,0.0,0.0,1,8.049446600546213,60,1,208.9570627733629
