,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,out_prncp,tot_cur_bal,bc_util,inq_last_6mths,pct_tl_nvr_dlq,total_acc,acc_now_delinq,tot_coll_amt,loan_length,term_num,weights,outcome,cr_hist,train
281969,23683311,8000.0,8000.0, 36 months,16.99,285.19,D,8 years,OWN,35000.0,Source Verified,2014-08-01,debt_consolidation,23.35,0.0,2008-10-01,10.0,0.0,8832.0,84.9,0.0,18845.0,80.6,3.0,100.0,12.0,0.0,0.0,4.008295858231175,36,3,True,69.98090309862626,True
96742,5030285,24000.0,24000.0, 36 months,11.14,787.33,B,10+ years,OWN,124000.0,Verified,2013-05-01,debt_consolidation,9.11,0.0,2000-01-01,13.0,0.0,8114.0,25.2,0.0,38663.0,26.8,0.0,100.0,24.0,0.0,0.0,20.041479291155877,36,1,False,159.97043060432452,False
81458,5799318,28000.0,28000.0, 36 months,7.62,872.52,A,1 year,RENT,130000.0,Verified,2013-07-01,major_purchase,7.12,0.0,2005-05-01,12.0,0.0,4572.0,6.4,0.0,14166.0,7.2,0.0,100.0,23.0,0.0,0.0,14.029035503809114,36,1,False,98.00611922216062,True
190646,35176218,2200.0,2200.0, 36 months,14.99,76.26,C,< 1 year,OWN,11500.0,Not Verified,2014-12-01,other,22.13,0.0,2009-03-01,6.0,0.0,3788.0,60.1,0.0,10845.0,98.1,0.0,87.5,8.0,0.0,0.0,9.002238238978213,36,3,True,69.02811146019425,True
294385,22443436,12800.0,12800.0, 36 months,12.99,431.23,C,10+ years,MORTGAGE,45000.0,Not Verified,2014-07-01,debt_consolidation,33.04,4.0,2001-06-01,11.0,0.0,15181.0,61.0,0.0,168795.0,37.8,2.0,87.1,31.0,0.0,0.0,20.008624407072013,36,1,False,156.98063615269308,True
130341,3097901,12000.0,12000.0, 36 months,13.11,404.97,B,< 1 year,MORTGAGE,40000.0,Not Verified,2013-01-01,credit_card,21.9,1.0,1973-11-01,8.0,0.0,7838.0,69.4,0.0,74648.0,79.3,0.0,91.0,24.0,0.0,143.0,35.97609807182899,36,1,False,470.0219717037311,True
416174,10536420,19600.0,19600.0, 36 months,18.25,711.05,D,6 years,MORTGAGE,54000.0,Source Verified,2014-01-01,debt_consolidation,10.67,0.0,2000-11-01,5.0,1.0,18315.0,93.0,0.0,21169.0,92.5,0.0,100.0,20.0,0.0,0.0,17.938766709788702,36,3,True,157.9991375592928,True
275696,25317363,6100.0,6100.0, 36 months,22.15,233.44,E,< 1 year,RENT,32000.0,Source Verified,2014-08-01,debt_consolidation,12.0,0.0,2001-11-01,4.0,0.0,913.0,12.9,0.0,5888.0,88.5,1.0,100.0,17.0,0.0,0.0,2.0041479291155877,36,3,True,152.9723402944619,True
144562,1825097,4000.0,4000.0, 36 months,14.33,137.36,C,10+ years,RENT,54100.0,Verified,2012-11-01,debt_consolidation,13.2,0.0,1999-12-01,6.0,0.0,10887.0,91.5,0.0,30369.0,91.5,0.0,92.0,15.0,0.0,0.0,29.930799400398364,36,1,False,155.0421979917452,True
122841,3349152,10000.0,10000.0, 36 months,14.33,343.39,C,1 year,RENT,60000.0,Not Verified,2013-02-01,credit_card,4.46,0.0,1998-12-01,7.0,0.0,8489.0,75.1,0.0,9955.0,95.2,0.0,100.0,13.0,0.0,0.0,18.957268116388427,36,1,False,170.0568800180702,True
110763,3917577,10000.0,10000.0, 36 months,15.31,348.18,C,10+ years,RENT,40000.0,Not Verified,2013-04-01,debt_consolidation,17.97,0.0,2000-07-01,7.0,0.0,10296.0,57.2,0.0,34770.0,60.0,1.0,100.0,22.0,0.0,0.0,8.01659171646235,36,3,True,153.00519517854576,True
299457,21790879,5000.0,5000.0, 36 months,18.99,183.26,E,10+ years,RENT,60000.0,Source Verified,2014-07-01,vacation,17.48,0.0,1999-01-01,11.0,2.0,5256.0,39.2,0.0,18135.0,0.6,3.0,100.0,28.0,0.0,0.0,13.010534097209389,36,3,True,185.95864391465943,True
134066,2826848,15000.0,15000.0, 36 months,19.72,555.32,D,< 1 year,RENT,45000.0,Verified,2012-12-01,wedding,5.2,0.0,2002-10-01,13.0,0.0,4947.0,62.6,0.0,29442.0,66.0,0.0,86.0,22.0,0.0,0.0,21.979917452103738,36,3,True,122.0230394874638,True
22783,8649601,30000.0,30000.0, 36 months,7.62,934.85,A,8 years,MORTGAGE,87500.0,Verified,2013-11-01,home_improvement,6.04,0.0,1998-09-01,7.0,0.0,874.0,2.0,0.0,135210.0,2.0,3.0,100.0,21.0,0.0,0.0,27.00671471693464,36,3,True,182.01605782459598,False
124246,3300173,19600.0,19600.0, 60 months,15.31,469.48,C,10+ years,RENT,55000.0,Verified,2013-02-01,debt_consolidation,29.96,0.0,1999-08-01,20.0,0.0,15281.0,28.4,0.0,45327.0,23.3,0.0,100.0,33.0,0.0,0.0,29.930799400398364,60,3,True,162.0731431856917,True
304137,21060937,20000.0,20000.0, 60 months,15.61,482.23,D,10+ years,OWN,70000.0,Source Verified,2014-07-01,debt_consolidation,31.23,1.0,1987-05-01,18.0,0.0,28817.0,32.0,0.0,57996.0,37.5,0.0,97.5,41.0,0.0,138.0,18.037331362040288,60,1,False,326.01901476416356,True
66599,6537046,8325.0,8325.0, 36 months,10.64,271.14,B,10+ years,MORTGAGE,34793.0,Verified,2013-08-01,debt_consolidation,29.12,0.0,1998-10-01,12.0,0.0,14843.0,58.7,0.0,126001.0,77.9,0.0,95.0,22.0,0.0,0.0,4.008295858231175,36,1,False,178.00776196636482,True
64179,6532055,3000.0,3000.0, 36 months,10.64,97.71,B,9 years,RENT,61000.0,Not Verified,2013-08-01,debt_consolidation,18.48,0.0,1996-06-01,13.0,0.0,8756.0,48.1,0.0,21409.0,82.9,0.0,100.0,32.0,0.0,0.0,4.008295858231175,36,3,True,206.00012320581533,True
156541,1520950,11000.0,11000.0, 60 months,15.8,266.34,C,10+ years,MORTGAGE,115000.0,Verified,2012-09-01,other,21.5,0.0,1988-10-01,14.0,0.0,38237.0,56.8,0.0,377133.0,37.6,2.0,100.0,51.0,0.0,0.0,18.957268116388427,60,3,True,287.02026735661923,True
156612,1520259,9600.0,9600.0, 36 months,17.27,343.56,C,6 years,RENT,50000.0,Source Verified,2012-09-01,debt_consolidation,21.94,0.0,2002-04-01,7.0,0.0,7369.0,91.0,0.0,22947.0,103.5,2.0,100.0,12.0,0.0,0.0,20.961416045504013,36,1,False,125.04568882317912,True
246721,29695239,4750.0,4750.0, 36 months,18.99,174.1,E,4 years,RENT,28000.0,Source Verified,2014-10-01,credit_card,11.7,0.0,2007-12-01,13.0,0.0,5548.0,44.6,0.0,5548.0,36.3,1.0,100.0,19.0,0.0,711.0,4.041150742315037,36,1,False,82.00579067331978,False
358773,15149251,25000.0,25000.0, 36 months,15.61,874.12,C,7 years,RENT,70000.0,Verified,2014-04-01,debt_consolidation,11.08,0.0,2004-11-01,6.0,0.0,29818.0,86.4,0.0,29818.0,88.9,0.0,100.0,8.0,0.0,0.0,4.008295858231175,36,3,True,112.95509148031788,False
296962,22331810,28000.0,28000.0, 60 months,18.24,714.68,D,10+ years,RENT,80000.0,Verified,2014-07-01,debt_consolidation,9.56,0.0,2004-02-01,5.0,0.0,13272.0,64.4,0.0,22123.0,100.1,0.0,100.0,13.0,0.0,0.0,11.006386168093801,60,3,True,124.94712417092754,True
231871,29154517,15000.0,15000.0, 36 months,6.49,459.67,A,6 years,RENT,67417.0,Verified,2014-10-01,debt_consolidation,30.05,0.0,2000-04-01,12.0,0.0,8559.0,13.0,0.0,96160.0,13.0,1.0,100.0,29.0,0.0,0.0,6.965235425778763,36,1,False,173.99946610813365,True
295815,22282515,19200.0,19200.0, 60 months,20.99,519.32,E,10+ years,RENT,82000.0,Source Verified,2014-07-01,debt_consolidation,7.27,1.0,2000-01-01,10.0,0.0,14085.0,55.0,0.0,14085.0,95.1,4.0,96.7,31.0,0.0,0.0,2.0370028131994498,60,3,True,173.96661122404979,False
105817,4306812,4750.0,4750.0, 36 months,21.0,178.96,E,4 years,RENT,25000.0,Not Verified,2013-04-01,vacation,11.71,0.0,2008-04-01,7.0,0.0,3818.0,59.7,0.0,10561.0,89.6,1.0,100.0,11.0,0.0,0.0,32.000657097681675,36,1,False,59.99301833713218,False
115425,3634512,25000.0,25000.0, 60 months,13.11,570.24,B,10+ years,MORTGAGE,91000.0,Source Verified,2013-03-01,debt_consolidation,16.26,1.0,1999-08-01,10.0,0.0,7702.0,28.5,0.0,135583.0,28.9,1.0,93.0,32.0,0.0,0.0,25.002566787819053,60,1,False,162.99307994003985,True
81865,5773136,7200.0,7200.0, 36 months,17.27,257.67,C,2 years,RENT,40000.0,Not Verified,2013-06-01,debt_consolidation,14.28,1.0,2003-09-01,5.0,1.0,3003.0,91.0,0.0,35920.0,91.0,0.0,86.0,15.0,0.0,0.0,13.996180619725251,36,3,True,116.99624222263292,True
98587,4777913,5000.0,5000.0, 36 months,8.9,158.77,A,10+ years,RENT,19000.0,Source Verified,2013-05-01,debt_consolidation,10.67,0.0,2000-07-01,9.0,1.0,3945.0,18.2,0.0,3945.0,36.7,0.0,100.0,16.0,0.0,0.0,25.002566787819053,36,1,False,153.9908417010616,True
244595,29313866,19000.0,19000.0, 36 months,16.99,677.31,D,10+ years,RENT,56000.0,Source Verified,2014-10-01,debt_consolidation,19.89,0.0,2007-07-01,4.0,1.0,3902.0,92.9,0.0,51721.0,92.9,0.0,85.7,8.0,0.0,0.0,7.983736832378488,36,1,False,87.03258793815068,False
34696,7905241,8000.0,8000.0, 36 months,20.2,298.13,D,4 years,RENT,65000.0,Verified,2013-10-01,debt_consolidation,21.62,2.0,2003-07-01,20.0,0.0,5645.0,97.3,0.0,103457.0,97.3,1.0,86.0,37.0,0.0,0.0,19.975769522988152,36,3,True,123.04154089406353,True
132872,2897018,20000.0,20000.0, 36 months,12.12,665.44,B,7 years,MORTGAGE,49000.0,Verified,2013-01-01,debt_consolidation,28.53,0.0,2005-06-01,15.0,1.0,12880.0,47.7,0.0,183834.0,60.8,0.0,100.0,21.0,0.0,0.0,28.945152877882503,36,3,True,91.04088379638186,True
132173,3005824,10000.0,10000.0, 36 months,12.12,332.72,B,10+ years,MORTGAGE,65000.0,Verified,2013-01-01,credit_card,25.4,1.0,2001-10-01,11.0,1.0,17840.0,45.9,0.0,275086.0,43.4,1.0,96.0,28.0,0.0,0.0,18.957268116388427,36,1,False,135.0335735846732,False
147592,1626188,19500.0,19500.0, 60 months,19.05,506.38,D,10+ years,MORTGAGE,72000.0,Verified,2012-11-01,other,28.83,0.0,2002-09-01,21.0,0.0,16287.0,59.0,0.0,241019.0,90.5,1.0,100.0,47.0,0.0,0.0,4.9610874966631755,60,3,True,122.0230394874638,True
130992,3104798,24175.0,24175.0, 36 months,7.9,756.45,A,5 years,MORTGAGE,68000.0,Not Verified,2013-01-01,home_improvement,12.76,0.0,2007-07-01,8.0,0.0,1491.0,16.9,0.0,156852.0,16.9,2.0,100.0,12.0,0.0,0.0,15.934618780673114,36,3,True,66.07117189264666,True
103154,4435475,4000.0,4000.0, 36 months,15.8,140.24,C,2 years,RENT,31000.0,Not Verified,2013-04-01,debt_consolidation,14.28,0.0,2007-11-01,7.0,0.0,2865.0,29.5,0.0,8759.0,35.1,0.0,100.0,11.0,0.0,0.0,23.984065381219327,36,1,False,64.98696071787921,True
131118,3054765,23000.0,23000.0, 60 months,17.27,574.96,C,10+ years,MORTGAGE,55000.0,Verified,2013-01-01,debt_consolidation,21.43,0.0,2001-10-01,12.0,0.0,28341.0,72.6,0.0,183499.0,73.3,0.0,100.0,24.0,0.0,0.0,21.979917452103738,60,1,False,135.0335735846732,True
378794,13086156,6500.0,6500.0, 36 months,6.03,197.84,A,3 years,RENT,51000.0,Not Verified,2014-03-01,credit_card,28.95,0.0,2006-05-01,10.0,0.0,7503.0,30.6,0.0,108948.0,50.0,0.0,100.0,18.0,0.0,0.0,21.027125813671738,36,1,False,93.99782336392944,False
400769,11834651,12500.0,12500.0, 36 months,17.57,449.22,D,,OWN,33000.0,Verified,2014-02-01,credit_card,20.65,1.0,1996-10-01,10.0,0.0,13917.0,65.3,0.0,25442.0,68.6,3.0,88.9,18.0,0.0,0.0,1.9384381609478634,36,3,True,208.03712601901478,True
149498,1603443,14825.0,14825.0, 36 months,20.49,554.66,E,10+ years,MORTGAGE,56000.0,Verified,2012-10-01,debt_consolidation,12.88,1.0,2000-07-01,8.0,0.0,20488.0,93.6,0.0,180346.0,99.0,0.0,93.0,16.0,0.0,0.0,36.99459947842872,36,1,False,147.02560627528285,False
240123,30726018,18000.0,18000.0, 36 months,16.29,635.41,D,9 years,MORTGAGE,90000.0,Source Verified,2014-10-01,debt_consolidation,23.82,0.0,1998-10-01,12.0,0.0,26476.0,78.1,0.0,164914.0,90.6,1.0,100.0,23.0,0.0,0.0,6.965235425778763,36,1,False,192.00394258609006,False
43339,7449464,17600.0,17600.0, 36 months,9.99,567.82,B,7 years,MORTGAGE,57000.0,Verified,2013-09-01,debt_consolidation,12.65,1.0,2000-06-01,8.0,0.0,18842.0,59.4,0.0,142982.0,60.9,0.0,95.0,25.0,0.0,0.0,21.947062568019877,36,1,False,159.01763896589253,False
104426,4280431,8000.0,8000.0, 36 months,8.9,254.03,A,10+ years,MORTGAGE,136000.0,Not Verified,2013-04-01,debt_consolidation,8.6,0.0,2001-09-01,10.0,0.0,14693.0,44.3,0.0,290489.0,54.1,3.0,95.0,24.0,0.0,0.0,33.0191585042814,36,1,False,138.97615967473664,True
128340,3154124,16000.0,16000.0, 36 months,10.16,517.48,B,,MORTGAGE,51000.0,Verified,2013-02-01,credit_card,28.88,0.0,1970-05-01,15.0,0.0,28390.0,59.3,0.0,129887.0,74.9,0.0,100.0,37.0,0.0,0.0,35.97609807182899,36,1,False,513.0947247376743,False
366451,14508117,2000.0,2000.0, 36 months,14.64,68.98,C,3 years,OWN,15000.0,Not Verified,2014-04-01,credit_card,30.16,0.0,2004-12-01,8.0,0.0,2956.0,68.7,0.0,3018.0,86.1,0.0,100.0,26.0,0.0,1267.0,6.012443787346763,36,3,True,111.96944495780201,True
