,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,out_prncp,tot_cur_bal,bc_util,funded_amnt_inv,inq_last_6mths,pct_tl_nvr_dlq,total_acc,sub_grade,acc_now_delinq,tot_coll_amt,default,loan_length,term_num,weights,label,cr_hist
281969,23683311,8000.0,8000.0, 36 months,16.99,285.19,D,8 years,OWN,35000.0,Source Verified,2014-08-01,Charged Off,debt_consolidation,23.35,0.0,2008-10-01,10.0,0.0,8832.0,84.9,1929.25,2014-12-01,1073.68,0.0,18845.0,80.6,8000.0,3.0,100.0,12.0,D3,0.0,0.0,1,4.008295858231175,36,3,1,69.98090309862626
96742,5030285,24000.0,24000.0, 36 months,11.14,787.33,B,10+ years,OWN,124000.0,Verified,2013-05-01,Fully Paid,debt_consolidation,9.11,0.0,2000-01-01,13.0,0.0,8114.0,25.2,27370.5000057249,2015-01-01,0.0,0.0,38663.0,26.8,24000.0,0.0,100.0,24.0,B2,0.0,0.0,0,20.041479291155877,36,1,0,159.97043060432452
81458,5799318,28000.0,28000.0, 36 months,7.62,872.52,A,1 year,RENT,130000.0,Verified,2013-07-01,Fully Paid,major_purchase,7.12,0.0,2005-05-01,12.0,0.0,4572.0,6.4,30077.379016429903,2014-09-01,0.0,0.0,14166.0,7.2,28000.0,0.0,100.0,23.0,A3,0.0,0.0,0,14.029035503809114,36,1,0,98.00611922216062
190646,35176218,2200.0,2200.0, 36 months,14.99,76.26,C,< 1 year,OWN,11500.0,Not Verified,2014-12-01,Charged Off,other,22.13,0.0,2009-03-01,6.0,0.0,3788.0,60.1,939.98,2015-09-01,255.47,0.0,10845.0,98.1,2200.0,0.0,87.5,8.0,C5,0.0,0.0,1,9.002238238978213,36,3,1,69.02811146019425
294385,22443436,12800.0,12800.0, 36 months,12.99,431.23,C,10+ years,MORTGAGE,45000.0,Not Verified,2014-07-01,Fully Paid,debt_consolidation,33.04,4.0,2001-06-01,11.0,0.0,15181.0,61.0,14922.63,2016-03-01,0.0,0.0,168795.0,37.8,12800.0,2.0,87.1,31.0,C1,0.0,0.0,0,20.008624407072013,36,1,0,156.98063615269308
130341,3097901,12000.0,12000.0, 36 months,13.11,404.97,B,< 1 year,MORTGAGE,40000.0,Not Verified,2013-01-01,Fully Paid,credit_card,21.9,1.0,1973-11-01,8.0,0.0,7838.0,69.4,14578.6356811648,2016-01-01,0.0,0.0,74648.0,79.3,12000.0,0.0,91.0,24.0,B4,0.0,143.0,0,35.97609807182899,36,1,0,470.0219717037311
416174,10536420,19600.0,19600.0, 36 months,18.25,711.05,D,6 years,MORTGAGE,54000.0,Source Verified,2014-01-01,Charged Off,debt_consolidation,10.67,0.0,2000-11-01,5.0,1.0,18315.0,93.0,13886.53,2015-07-01,2154.51,0.0,21169.0,92.5,19600.0,0.0,100.0,20.0,D3,0.0,0.0,1,17.938766709788702,36,3,1,157.9991375592928
275696,25317363,6100.0,6100.0, 36 months,22.15,233.44,E,< 1 year,RENT,32000.0,Source Verified,2014-08-01,Charged Off,debt_consolidation,12.0,0.0,2001-11-01,4.0,0.0,913.0,12.9,233.44,2014-10-01,0.0,0.0,5888.0,88.5,6100.0,1.0,100.0,17.0,E5,0.0,0.0,1,2.0041479291155877,36,3,1,152.9723402944619
144562,1825097,4000.0,4000.0, 36 months,14.33,137.36,C,10+ years,RENT,54100.0,Verified,2012-11-01,Fully Paid,debt_consolidation,13.2,0.0,1999-12-01,6.0,0.0,10887.0,91.5,4875.989999999998,2015-05-01,0.0,0.0,30369.0,91.5,4000.0,0.0,92.0,15.0,C1,0.0,0.0,0,29.930799400398364,36,1,0,155.0421979917452
122841,3349152,10000.0,10000.0, 36 months,14.33,343.39,C,1 year,RENT,60000.0,Not Verified,2013-02-01,Fully Paid,credit_card,4.46,0.0,1998-12-01,7.0,0.0,8489.0,75.1,11779.0754687063,2014-09-01,0.0,0.0,9955.0,95.2,10000.0,0.0,100.0,13.0,C1,0.0,0.0,0,18.957268116388427,36,1,0,170.0568800180702
110763,3917577,10000.0,10000.0, 36 months,15.31,348.18,C,10+ years,RENT,40000.0,Not Verified,2013-04-01,Charged Off,debt_consolidation,17.97,0.0,2000-07-01,7.0,0.0,10296.0,57.2,3934.34,2013-12-01,1149.54,0.0,34770.0,60.0,10000.0,1.0,100.0,22.0,C2,0.0,0.0,1,8.01659171646235,36,3,1,153.00519517854576
299457,21790879,5000.0,5000.0, 36 months,18.99,183.26,E,10+ years,RENT,60000.0,Source Verified,2014-07-01,Charged Off,vacation,17.48,0.0,1999-01-01,11.0,2.0,5256.0,39.2,1849.34,2015-08-01,0.0,0.0,18135.0,0.6,5000.0,3.0,100.0,28.0,E1,0.0,0.0,1,13.010534097209389,36,3,1,185.95864391465943
134066,2826848,15000.0,15000.0, 36 months,19.72,555.32,D,< 1 year,RENT,45000.0,Verified,2012-12-01,Charged Off,wedding,5.2,0.0,2002-10-01,13.0,0.0,4947.0,62.6,11258.279999999999,2014-10-01,1273.48,0.0,29442.0,66.0,15000.0,0.0,86.0,22.0,D5,0.0,0.0,1,21.979917452103738,36,3,1,122.0230394874638
22783,8649601,30000.0,30000.0, 36 months,7.62,934.85,A,8 years,MORTGAGE,87500.0,Verified,2013-11-01,Charged Off,home_improvement,6.04,0.0,1998-09-01,7.0,0.0,874.0,2.0,22038.76,2016-02-01,0.0,0.0,135210.0,2.0,29975.0,3.0,100.0,21.0,A3,0.0,0.0,1,27.00671471693464,36,3,1,182.01605782459598
124246,3300173,19600.0,19600.0, 60 months,15.31,469.48,C,10+ years,RENT,55000.0,Verified,2013-02-01,Charged Off,debt_consolidation,29.96,0.0,1999-08-01,20.0,0.0,15281.0,28.4,15908.3,2015-08-01,1823.9,0.0,45327.0,23.3,19600.0,0.0,100.0,33.0,C2,0.0,0.0,1,29.930799400398364,60,3,1,162.0731431856917
304137,21060937,20000.0,20000.0, 60 months,15.61,482.23,D,10+ years,OWN,70000.0,Source Verified,2014-07-01,Fully Paid,debt_consolidation,31.23,1.0,1987-05-01,18.0,0.0,28817.0,32.0,22990.63,2016-01-01,0.0,0.0,57996.0,37.5,20000.0,0.0,97.5,41.0,D1,0.0,138.0,0,18.037331362040288,60,1,0,326.01901476416356
66599,6537046,8325.0,8325.0, 36 months,10.64,271.14,B,10+ years,MORTGAGE,34793.0,Verified,2013-08-01,Fully Paid,debt_consolidation,29.12,0.0,1998-10-01,12.0,0.0,14843.0,58.7,8611.1278157158,2013-12-01,0.0,0.0,126001.0,77.9,8325.0,0.0,95.0,22.0,B2,0.0,0.0,0,4.008295858231175,36,1,0,178.00776196636482
64179,6532055,3000.0,3000.0, 36 months,10.64,97.71,B,9 years,RENT,61000.0,Not Verified,2013-08-01,Charged Off,debt_consolidation,18.48,0.0,1996-06-01,13.0,0.0,8756.0,48.1,1130.42,2013-12-01,875.0,0.0,21409.0,82.9,3000.0,0.0,100.0,32.0,B2,0.0,0.0,1,4.008295858231175,36,3,1,206.00012320581533
156541,1520950,11000.0,11000.0, 60 months,15.8,266.34,C,10+ years,MORTGAGE,115000.0,Verified,2012-09-01,Charged Off,other,21.5,0.0,1988-10-01,14.0,0.0,38237.0,56.8,4784.6,2014-04-01,0.0,0.0,377133.0,37.6,11000.0,2.0,100.0,51.0,C3,0.0,0.0,1,18.957268116388427,60,3,1,287.02026735661923
156612,1520259,9600.0,9600.0, 36 months,17.27,343.56,C,6 years,RENT,50000.0,Source Verified,2012-09-01,Fully Paid,debt_consolidation,21.94,0.0,2002-04-01,7.0,0.0,7369.0,91.0,11749.944357409498,2014-06-01,0.0,0.0,22947.0,103.5,9600.0,2.0,100.0,12.0,C5,0.0,0.0,0,20.961416045504013,36,1,0,125.04568882317912
246721,29695239,4750.0,4750.0, 36 months,18.99,174.1,E,4 years,RENT,28000.0,Source Verified,2014-10-01,Fully Paid,credit_card,11.7,0.0,2007-12-01,13.0,0.0,5548.0,44.6,5045.34,2015-02-01,0.0,0.0,5548.0,36.3,4750.0,1.0,100.0,19.0,E1,0.0,711.0,0,4.041150742315037,36,1,0,82.00579067331978
358773,15149251,25000.0,25000.0, 36 months,15.61,874.12,C,7 years,RENT,70000.0,Verified,2014-04-01,Charged Off,debt_consolidation,11.08,0.0,2004-11-01,6.0,0.0,29818.0,86.4,6747.18,2014-08-01,3250.7,0.0,29818.0,88.9,25000.0,0.0,100.0,8.0,C5,0.0,0.0,1,4.008295858231175,36,3,1,112.95509148031788
296962,22331810,28000.0,28000.0, 60 months,18.24,714.68,D,10+ years,RENT,80000.0,Verified,2014-07-01,Charged Off,debt_consolidation,9.56,0.0,2004-02-01,5.0,0.0,13272.0,64.4,7861.48,2015-06-01,0.0,0.0,22123.0,100.1,28000.0,0.0,100.0,13.0,D5,0.0,0.0,1,11.006386168093801,60,3,1,124.94712417092754
231871,29154517,15000.0,15000.0, 36 months,6.49,459.67,A,6 years,RENT,67417.0,Verified,2014-10-01,Fully Paid,debt_consolidation,30.05,0.0,2000-04-01,12.0,0.0,8559.0,13.0,15548.0,2015-05-01,0.0,0.0,96160.0,13.0,15000.0,1.0,100.0,29.0,A2,0.0,0.0,0,6.965235425778763,36,1,0,173.99946610813365
