,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome
67479,5000.0,5000.0,0.08769822657534243,B,0,10.15,46025.0,22.22, 36 months,9550.0,62.0,1.0,100.0,209.02277254153063,False
14192,35000.0,35000.0,-0.11614904761904762,D,1,15.59,89000.0,12.03, 36 months,47537.0,38.9,2.0,100.0,215.9880079673094,True
27461,19950.0,19950.0,0.14988870117442357,D,0,15.59,40000.0,24.66, 60 months,18434.0,74.3,0.0,95.8,228.01289554200292,False
45804,19200.0,19200.0,0.11934724712703237,C,0,14.99,69877.0,32.85, 60 months,15284.0,81.7,0.0,84.8,188.98129325037476,False
22725,4800.0,4800.0,-0.25147499999999995,D,1,17.86,21000.0,21.94, 36 months,6565.0,82.1,0.0,100.0,54.04628431795314,True
36203,17500.0,17500.0,0.12788495010989,C,0,14.49,94799.0,10.51, 36 months,6965.0,83.9,2.0,100.0,54.01342943386928,False
74894,9000.0,9000.0,0.031512736809870066,A,0,6.03,47186.12,16.51, 36 months,9149.0,49.2,0.0,100.0,186.02435368282715,False
10423,20000.0,20000.0,0.09352238187491223,B,0,11.44,110000.0,12.57, 60 months,8068.0,48.0,2.0,96.9,308.9673299246391,False
35741,11850.0,11850.0,0.15806050747056288,E,0,19.52,48000.0,19.66, 60 months,3074.0,52.1,0.0,96.4,252.9826074457381,False
25115,12000.0,12000.0,0.05514520494423609,B,0,9.49,69681.0,3.6, 36 months,7582.0,38.9,3.0,88.2,283.0448263824719,False
38056,3750.0,3750.0,-0.027099555555555547,E,1,18.99,130000.0,19.63, 36 months,11597.0,46.5,4.0,93.6,107.9940039836547,True
11599,17000.0,17000.0,-0.15769450980392158,C,1,14.31,80591.0,21.5, 36 months,28483.0,71.7,2.0,100.0,241.0234296392123,True
26426,5750.0,5750.0,0.0576337961910296,E,1,18.54,19200.0,24.0, 36 months,11118.0,53.7,0.0,93.7,96.00197129304503,True
30506,15000.0,15000.0,-0.1360691111111111,B,1,11.44,75000.0,17.26, 36 months,9325.0,60.6,0.0,100.0,101.02876855787594,True
47550,14000.0,14000.0,0.09999887382315274,D,0,17.57,67000.0,12.03, 60 months,6756.0,65.0,0.0,95.2,180.0119098954804,False
7006,14000.0,14000.0,0.10194530374707257,B,0,11.99,42000.0,34.83, 36 months,14739.0,51.9,0.0,88.2,98.99176574467648,False
28897,21225.0,21225.0,0.12786901897392314,C,0,13.66,76000.0,34.28, 60 months,17639.0,63.4,0.0,95.7,150.04825561099818,False
21729,6000.0,6000.0,-0.2669888888888889,C,1,12.39,55000.0,16.1, 36 months,5290.0,77.8,0.0,85.7,140.98030760385222,True
73739,10075.0,10075.0,0.09768931307453262,C,0,14.99,28000.0,24.59, 60 months,6951.0,54.7,1.0,91.7,269.0157908786628,False
11314,16800.0,16800.0,0.10130943182309692,C,0,12.99,50000.0,20.28, 36 months,12996.0,88.4,0.0,100.0,155.00934310766135,False
23044,12000.0,12000.0,-0.03160799999999999,C,1,12.99,52000.0,4.04, 60 months,6816.0,64.9,0.0,93.3,132.01092424895788,True
16072,7700.0,7700.0,0.06882519258905685,C,0,12.99,45000.0,15.84, 36 months,6726.0,36.4,0.0,91.7,186.02435368282715,False
3898,30000.0,30000.0,0.07390435421169922,C,0,12.99,91000.0,21.14, 60 months,24580.0,39.2,0.0,96.7,206.00012320581533,False
29411,14600.0,14600.0,0.1376037867483323,F,0,22.99,90000.0,13.89, 36 months,8186.0,32.0,4.0,89.5,181.03041130208013,False
3958,3200.0,3200.0,0.022333848790046563,C,1,12.99,70200.0,27.73, 36 months,18605.0,68.7,0.0,98.1,165.0300827532393,True
34400,28775.0,28775.0,0.09567198590052545,C,0,14.99,60000.0,27.13, 36 months,36447.0,57.5,0.0,100.0,246.0502269040432,False
65619,12000.0,12000.0,0.06223795770551154,B,0,10.15,40000.0,30.75, 60 months,9698.0,30.1,0.0,100.0,315.01262859606976,False
10386,14000.0,14000.0,-0.06072595238095237,C,1,14.31,70000.0,19.01, 36 months,13822.0,60.1,3.0,93.1,103.03291648699152,True
4941,5000.0,5000.0,0.18124297641509435,D,0,17.86,24000.0,8.85, 36 months,5304.0,70.7,1.0,81.2,129.97392143575843,False
65362,17400.0,17400.0,-0.09903229885057471,G,1,25.83,115000.0,21.9, 60 months,3717.0,26.9,1.0,100.0,139.9618061972525,True
57963,9775.0,9775.0,0.08692695230055995,D,0,15.61,35000.0,19.82, 36 months,6727.0,27.3,0.0,100.0,77.01184829257274,False
3211,8000.0,8000.0,0.0649417399038413,B,0,11.99,75000.0,20.66, 36 months,20573.0,73.2,2.0,100.0,81.02014415080392,False
