,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome
0,28000.0,28000.0,0.053932512699892556,A,0,7.69,90000.0,21.23, 36 months,43337.0,125.3,0.0,100.0,175.01796751473336,False
1,12000.0,12000.0,0.14602426176223315,D,0,17.57,34076.0,23.81, 60 months,7173.0,71.7,2.0,100.0,106.97550257705497,False
2,27000.0,27000.0,0.09821181737252349,B,0,12.49,85086.0,11.35, 60 months,12306.0,59.2,0.0,94.4,404.9693012176841,False
3,16750.0,16750.0,0.19070866003043993,E,0,18.99,42000.0,17.37, 60 months,14049.0,31.2,1.0,100.0,139.9618061972525,False
4,21000.0,21000.0,0.07452474894097064,C,0,13.66,114000.0,27.36, 36 months,30804.0,68.5,1.0,80.9,260.9663442781166,False
5,9100.0,9100.0,0.10047437013021071,C,0,13.66,83609.58,31.12, 36 months,29148.0,64.1,1.0,100.0,283.0448263824719,False
6,20000.0,20000.0,-0.10339160000000001,C,1,13.35,72000.0,21.53, 60 months,33056.0,62.7,0.0,100.0,199.03488778003654,True
7,11000.0,11000.0,-0.09228163636363636,E,1,21.99,37295.0,26.54, 60 months,13615.0,32.2,2.0,95.6,194.00809051520565,True
8,11200.0,11200.0,0.04389365712083064,A,0,7.12,108000.0,3.91, 36 months,13725.0,42.2,1.0,100.0,100.01026715127621,False
9,15700.0,15700.0,0.08525941630380036,C,0,14.99,41000.0,37.82, 60 months,10938.0,70.6,0.0,86.4,145.02145834616726,False
10,10800.0,10800.0,0.15587392823012233,E,0,20.99,36000.0,15.6, 60 months,3416.0,97.6,0.0,94.1,161.02178689500812,False
11,20000.0,20000.0,0.10459839110893639,C,0,12.39,60000.0,30.8, 60 months,24406.0,46.6,1.0,100.0,215.9880079673094,False
12,3500.0,3500.0,0.08261113837649434,C,0,14.99,69000.0,25.3, 36 months,402.0,4.9,0.0,100.0,125.01283393909526,False
