,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome
0,9000.0,9000.0,0.08803776500215589,D,0,16.29,30000.0,25.04, 36 months,8225.0,84.8,1.0,100.0,71.98505102774185,False
1,10800.0,10800.0,-0.11002166666666667,E,1,20.2,36000.0,24.83, 60 months,7020.0,70.2,2.0,90.5,112.00229984188587,True
2,18000.0,18000.0,0.08000556008024821,B,0,11.44,75000.0,17.98, 60 months,10547.0,26.4,1.0,92.7,162.04028830160783,False
3,24000.0,24000.0,0.11420989821076138,D,0,15.61,100000.0,15.35, 36 months,20190.0,72.4,1.0,84.2,265.9931415429475,False
4,12000.0,12000.0,0.04709010964781616,B,0,8.67,65000.0,8.59, 60 months,10831.0,40.0,0.0,100.0,44.025544672375204,False
5,15000.0,15000.0,0.10020971592592587,B,0,10.15,80000.0,22.77, 36 months,10568.0,38.9,1.0,97.5,125.01283393909526,False
6,20000.0,20000.0,-0.0934875,B,1,10.99,57000.0,32.44, 36 months,23182.0,54.0,0.0,96.0,228.01289554200292,True
7,11200.0,11200.0,0.12001762299984856,E,0,18.99,57600.0,11.65, 60 months,8641.0,61.0,3.0,83.0,77.9974948150886,False
8,12500.0,12500.0,0.051833137404385894,A,0,7.49,50000.0,22.64, 36 months,15747.0,73.2,0.0,100.0,84.00993860243537,False
9,19000.0,19000.0,0.13446932390661365,D,0,16.99,39000.0,16.77, 60 months,10396.0,90.4,0.0,100.0,89.03673586726627,False
10,12000.0,12000.0,0.03814944162726956,A,0,6.03,127500.0,9.39, 36 months,12864.0,11.6,0.0,96.9,324.01486683504794,False
11,18000.0,18000.0,0.06494178645023171,B,0,11.99,55000.0,26.85, 36 months,10917.0,22.2,0.0,100.0,132.01092424895788,False
12,15000.0,15000.0,0.12433488182926825,B,0,11.67,65000.0,32.51, 36 months,15400.0,45.7,0.0,92.6,203.99597527669974,False
13,10000.0,10000.0,0.09734137786246506,D,0,16.99,38000.0,23.69, 36 months,9752.0,84.1,0.0,100.0,72.97069755025771,False
14,8000.0,8000.0,0.11381354980193656,C,0,13.35,37000.0,37.3, 36 months,3182.0,20.9,1.0,100.0,236.98227889689727,False
15,29325.0,29325.0,-0.09736379653310602,D,1,16.99,70000.0,22.46, 36 months,41490.0,80.4,1.0,100.0,226.00874761288733,True
16,11000.0,11000.0,0.04691705931818118,B,0,8.67,72000.0,6.46, 60 months,12188.0,16.4,4.0,100.0,407.9919505533995,False
17,9000.0,9000.0,0.04124959093721889,A,0,6.49,42000.0,8.49, 36 months,5316.0,45.4,1.0,91.3,163.94587157847184,False
18,12800.0,12800.0,0.09829981385061642,C,0,12.99,39000.0,16.58, 60 months,4638.0,59.5,0.0,87.5,119.98603667426435,False
19,1500.0,1500.0,-0.21039999999999998,D,1,16.29,30114.12,24.63, 36 months,8421.0,76.6,0.0,100.0,55.031930840469,True
20,14000.0,14000.0,0.03686855258113967,A,0,6.99,52000.0,10.5, 36 months,10202.0,41.6,0.0,100.0,65.01981560196307,False
21,10000.0,10000.0,-0.036697999999999995,D,1,16.29,35000.0,13.1, 60 months,10869.0,47.3,1.0,100.0,228.99854206451877,True
22,6000.0,6000.0,-0.08555555555555555,C,1,13.35,60000.0,22.38, 36 months,11368.0,97.2,3.0,97.1,246.01737201995934,True
23,30000.0,30000.0,-0.03462839999999999,B,1,11.99,80000.0,24.72, 60 months,36814.0,39.5,0.0,100.0,230.0170434711185,True
24,6650.0,6650.0,0.0938448357118062,C,0,14.99,48000.0,8.88, 36 months,3510.0,59.5,2.0,81.8,208.0042711349309,False
25,20000.0,20000.0,0.08018674884391491,C,0,14.31,84000.0,12.83, 60 months,14761.0,37.9,1.0,100.0,171.99531817901806,False
26,10000.0,10000.0,-0.146886,C,1,12.99,47000.0,16.19, 36 months,1874.0,34.0,1.0,83.0,338.0110474547732,True
27,1875.0,1875.0,0.1294263367955801,C,0,12.39,69000.0,9.84, 36 months,994.0,99.4,0.0,92.3,157.01349103677694,False
28,21975.0,21975.0,-0.07867085324232082,D,1,15.61,50000.0,30.96, 60 months,33615.0,50.5,1.0,100.0,180.0119098954804,True
29,11400.0,11400.0,0.10308294973593156,B,0,11.67,46000.0,23.19, 60 months,27947.0,84.9,0.0,100.0,336.0068995256576,False
30,4000.0,4000.0,0.08581624287908048,D,0,15.59,55000.0,28.43, 36 months,4119.0,30.3,0.0,84.6,149.02975420439844,False
31,4800.0,4800.0,-0.12402916666666666,D,1,15.59,23000.0,8.82, 36 months,5577.0,96.2,0.0,96.7,122.97583112589581,True
32,11000.0,11000.0,0.110389511872749,C,0,14.49,58000.0,14.98, 60 months,7708.0,51.4,1.0,100.0,132.99657077147376,False
33,14400.0,14400.0,0.12922844906249997,C,0,14.99,48000.0,14.58, 60 months,8265.0,58.8,0.0,94.1,274.00973325940987,False
34,10500.0,10500.0,0.09522076402069582,B,0,12.49,42282.0,22.88, 36 months,12841.0,45.2,0.0,100.0,288.991560401651,False
35,14000.0,14000.0,0.10775142764331311,C,0,14.49,35198.16,36.82, 60 months,7974.0,66.4,0.0,95.8,132.01092424895788,False
36,24000.0,24000.0,-0.2822590277777778,A,1,6.49,130000.0,10.75, 36 months,26413.0,87.2,0.0,100.0,153.9908417010616,True
37,13000.0,13000.0,0.03598536762295087,A,0,6.49,80000.0,5.69, 36 months,16610.0,33.1,1.0,100.0,171.99531817901806,False
38,15000.0,15000.0,0.07594226702479341,A,0,8.19,35000.0,26.44, 36 months,33531.0,47.6,0.0,100.0,516.018809421138,False
39,6400.0,6400.0,0.05579328489505269,B,0,10.15,34000.0,25.05, 36 months,8610.0,60.2,2.0,100.0,72.97069755025771,False
40,35000.0,35000.0,0.06061097613200214,B,0,10.99,135000.0,18.34, 60 months,15171.0,16.8,0.0,100.0,249.99281299410666,False
41,10000.0,10000.0,0.03854511023601066,A,0,6.49,35000.0,27.13, 36 months,11054.0,27.4,0.0,100.0,267.0116429495472,False
42,20000.0,20000.0,-0.04270233333333332,B,1,12.49,135000.0,7.95, 36 months,5008.0,91.1,0.0,87.5,228.01289554200292,True
43,16000.0,16000.0,-0.04069000000000002,B,1,10.49,130000.0,11.34, 36 months,15603.0,53.4,1.0,100.0,209.02277254153063,True
44,12000.0,12000.0,0.07016317141393826,B,0,11.67,42000.0,27.29, 36 months,7423.0,79.0,3.0,89.0,64.00131419536335,False
45,9600.0,9600.0,0.04042357841913471,A,0,7.12,49000.0,18.03, 36 months,13612.0,42.4,0.0,87.5,250.9784595166225,False
46,35000.0,35000.0,-0.09869125714285715,D,1,17.57,140000.0,6.87, 60 months,21744.0,70.6,1.0,100.0,139.04186944290439,True
47,30000.0,30000.0,0.07390435421169922,C,0,12.99,91000.0,21.14, 60 months,24580.0,39.2,0.0,96.7,206.00012320581533,False
48,14500.0,14500.0,-0.11957986206896554,E,1,20.99,37000.0,24.61, 60 months,9497.0,55.2,0.0,95.2,144.00295693956755,True
49,18000.0,18000.0,0.1553195104932302,D,0,18.24,53560.0,9.25, 60 months,5108.0,47.3,0.0,100.0,286.98741247253537,False
50,4750.0,4750.0,0.08486444541413908,D,0,6.0,15000.0,20.64, 36 months,7863.0,61.9,0.0,100.0,62.98281278876363,False
51,35000.0,35000.0,0.06317149099030368,B,0,11.44,150000.0,20.32, 60 months,44320.0,84.9,0.0,100.0,453.98878827080637,False
52,10450.0,10450.0,-0.058071770334928205,B,1,11.44,42000.0,21.71, 36 months,9942.0,44.2,0.0,97.7,186.05720856691102,True
53,7000.0,7000.0,-0.12111000000000001,E,1,20.99,42000.0,22.4, 36 months,7215.0,85.9,3.0,100.0,198.01638637343683,True
54,20000.0,20000.0,0.07048042117096105,C,0,12.99,57031.0,23.69, 36 months,18408.0,65.3,3.0,100.0,91.04088379638186,False
55,14400.0,14400.0,0.08228336007528628,C,0,14.49,90000.0,26.27, 60 months,33776.0,101.1,0.0,100.0,257.02375818805314,False
56,12000.0,12000.0,-0.15529733333333334,D,1,15.59,30000.0,18.84, 60 months,2935.0,97.8,0.0,85.7,203.01032875418386,True
57,6300.0,6300.0,0.07076076486873437,C,0,12.99,150000.0,17.68, 36 months,62664.0,95.5,0.0,100.0,291.0285632148504,False
58,10000.0,10000.0,0.11321516835616434,C,0,14.49,45000.0,23.73, 36 months,7276.0,59.6,1.0,100.0,140.98030760385222,False
59,20000.0,20000.0,0.03987407903184766,A,0,7.69,80000.0,23.74, 36 months,37313.0,30.6,0.0,98.2,372.01585248157045,False
60,13000.0,13000.0,0.05766758018321238,B,0,10.99,149000.0,4.39, 36 months,4872.0,35.6,4.0,97.3,307.02889176369126,False
61,5000.0,5000.0,0.08443878827706155,B,0,10.99,67000.0,19.0, 36 months,45743.0,69.3,0.0,100.0,374.02000041068607,False
62,2500.0,2500.0,0.0764037665147405,C,0,13.98,23900.0,25.06, 36 months,3649.0,65.2,1.0,100.0,228.99854206451877,False
63,24000.0,24000.0,0.09745583259073225,C,0,14.99,68000.0,33.07, 60 months,21982.0,39.4,1.0,100.0,169.99117024990247,False
64,8000.0,8000.0,0.061597286626999384,B,0,11.44,43000.0,13.82, 36 months,10738.0,49.9,0.0,100.0,83.0242920799195,False
65,15000.0,15000.0,0.03427107920107856,A,0,6.49,124000.0,14.55, 36 months,42015.0,30.9,0.0,96.6,327.03751617076324,False
66,14000.0,14000.0,0.12807652981429307,D,0,15.59,75000.0,17.55, 60 months,18066.0,41.6,0.0,96.2,377.04264974640137,False
67,28000.0,28000.0,-0.1366327380952381,A,1,7.49,70000.0,16.19, 36 months,45306.0,76.4,1.0,100.0,151.03390213351403,True
68,11700.0,11700.0,0.0849823499219819,C,0,12.99,40958.4,23.79, 36 months,17343.0,29.5,0.0,100.0,270.0014374011787,False
69,20000.0,20000.0,0.06723084821755346,C,0,12.39,82500.0,11.78, 36 months,17655.0,86.1,1.0,100.0,175.01796751473336,False
70,1400.0,1400.0,0.08815814853854538,D,0,15.99,20000.0,28.21, 36 months,1372.0,85.7,1.0,100.0,98.00611922216062,False
71,22000.0,22000.0,0.1406449566564517,E,0,18.99,55000.0,18.9, 60 months,5917.0,37.7,0.0,87.1,151.03390213351403,False
72,20000.0,20000.0,-0.0629305,A,1,6.03,90000.0,17.55, 36 months,26722.0,97.5,0.0,100.0,219.01065730302471,True
