,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome
0,5000.0,5000.0,-0.042827333333333314,C,1,14.49,33000.0,23.85, 36 months,3675.0,18.2,1.0,100.0,353.02572948109815,True
1,3000.0,3000.0,0.04682015930794674,A,0,7.12,52000.0,7.29, 36 months,8380.0,34.9,1.0,100.0,159.01763896589253,False
2,20000.0,20000.0,0.04276894864379942,A,0,6.49,60000.0,20.66, 36 months,14188.0,40.0,0.0,100.0,248.97431158750692,False
3,35000.0,35000.0,0.10761237198280872,E,0,19.24,70000.0,25.94, 36 months,47547.0,72.0,2.0,95.6,200.02053430255242,False
4,6825.0,6825.0,0.10224758000992788,C,0,14.99,50000.0,35.96, 36 months,5755.0,38.9,1.0,89.5,215.9880079673094,False
5,7200.0,7200.0,0.07239687606874146,B,0,10.15,40000.0,17.37, 36 months,6274.0,43.6,0.0,100.0,404.9693012176841,False
6,18000.0,18000.0,0.09663040337171058,B,0,11.99,62000.0,5.03, 36 months,5540.0,30.6,2.0,93.3,121.99018460337994,False
7,6650.0,6650.0,0.08534053758317946,D,0,15.59,72000.0,0.42, 36 months,866.0,33.3,0.0,87.5,140.0603708495041,False
8,3000.0,3000.0,0.046251102269457216,B,0,8.67,57000.0,10.84, 36 months,1179.0,8.5,0.0,80.6,127.01698186821085,False
9,10150.0,10150.0,0.18966195017051918,E,0,20.99,30000.0,29.6, 60 months,9056.0,45.3,2.0,100.0,157.9991375592928,False
10,20400.0,20400.0,-0.10644137254901963,C,1,14.31,60000.0,26.6, 60 months,23629.0,57.5,1.0,100.0,166.96852091418714,True
11,10000.0,10000.0,0.049680188971442794,A,0,8.19,55000.0,21.27, 36 months,17917.0,67.6,0.0,100.0,157.01349103677694,False
12,11625.0,11625.0,0.10429354114308075,D,0,18.24,43083.6,27.41, 60 months,17423.0,97.3,0.0,89.5,245.0317254974435,False
13,18000.0,18000.0,0.11746013867088613,B,0,11.99,75000.0,20.85, 60 months,11398.0,33.8,2.0,83.0,152.9723402944619,False
14,15000.0,15000.0,0.1413351294718309,C,0,14.49,69000.0,30.07, 60 months,34279.0,79.3,0.0,100.0,411.0145998891148,False
15,35000.0,35000.0,0.07067812628363353,C,0,12.99,170000.0,10.35, 36 months,45751.0,81.7,0.0,100.0,286.98741247253537,False
16,10000.0,10000.0,0.11158675227594347,B,0,11.44,178000.0,12.12, 36 months,28420.0,80.1,2.0,100.0,242.00907616172816,False
17,35000.0,35000.0,0.0887186841731778,B,0,11.67,84000.0,14.54, 60 months,39046.0,84.5,0.0,96.4,206.00012320581533,False
18,7200.0,7200.0,-0.023819907407407418,B,1,11.99,30000.0,19.52, 36 months,5509.0,12.0,2.0,95.5,200.02053430255242,True
19,17625.0,17625.0,-0.14987460992907803,D,1,17.57,81240.0,13.21, 60 months,10935.0,42.5,1.0,100.0,140.98030760385222,True
20,11675.0,11675.0,0.09986530197565258,C,0,12.39,38513.0,14.83, 60 months,1885.0,10.3,0.0,89.5,375.03850181728575,False
21,4800.0,4800.0,0.08042776983173072,A,0,8.39,90000.0,23.17, 36 months,12180.0,37.5,0.0,100.0,125.99848046161112,False
22,4800.0,4800.0,-0.12402916666666666,D,1,15.59,23000.0,8.82, 36 months,5577.0,96.2,0.0,96.7,122.97583112589581,True
23,14500.0,14500.0,0.011178563697702064,D,1,17.86,65000.0,25.3, 60 months,16943.0,73.3,1.0,95.7,209.02277254153063,True
24,16000.0,16000.0,0.06581315510261192,A,0,7.12,100000.0,24.17, 36 months,122846.0,48.3,0.0,100.0,295.95679582742974,False
25,11075.0,11075.0,-0.12248156508653121,D,1,17.14,100000.0,9.06, 36 months,5474.0,40.9,0.0,100.0,45.996837717406926,True
26,15425.0,15425.0,0.19549057244732565,E,0,20.2,42000.0,21.11, 36 months,5082.0,36.0,1.0,91.7,94.9834698864453,False
27,12000.0,12000.0,0.034220843512661955,A,0,6.49,165000.0,4.45, 36 months,12477.0,48.2,0.0,85.7,295.0368590730816,False
28,9500.0,9500.0,-0.02202035087719298,C,1,12.39,70000.0,19.97, 36 months,11084.0,43.6,1.0,85.7,104.97135464793938,True
29,12000.0,12000.0,0.08363661482148049,C,0,12.39,33000.0,17.96, 60 months,4024.0,24.0,0.0,83.9,144.00295693956755,False
30,19975.0,19975.0,0.13974660754224164,D,0,17.14,50000.0,31.37, 36 months,27134.0,80.5,0.0,100.0,367.02191010082345,False
31,18000.0,18000.0,0.14921364953852648,E,0,18.54,85000.0,25.09, 60 months,10115.0,57.8,1.0,100.0,254.00110885233784,False
32,7000.0,7000.0,0.026460850643872103,B,1,10.49,38000.0,18.6, 36 months,9071.0,63.4,1.0,92.3,320.0394258609006,True
33,16000.0,16000.0,0.04866968287106425,B,0,9.17,55000.0,18.39, 36 months,13136.0,74.2,1.0,100.0,509.0207191112754,False
34,6725.0,6725.0,-0.22707905824039648,D,1,15.59,28000.0,39.48, 36 months,5076.0,45.7,1.0,95.0,328.056017577363,True
35,20000.0,20000.0,-0.15605249999999998,B,1,11.67,75000.0,12.61, 36 months,12862.0,87.5,0.0,100.0,128.98827491324258,True
36,2200.0,2200.0,-0.07974090909090908,D,1,16.29,37000.0,22.9, 36 months,21043.0,43.7,0.0,100.0,216.97365448982526,True
37,15000.0,15000.0,0.07658564299328191,C,0,13.35,61000.0,28.51, 36 months,8659.0,51.5,0.0,95.2,142.98445553296781,False
38,25325.0,25325.0,0.13889797208700688,E,0,19.99,76200.0,32.6, 60 months,22825.0,64.1,0.0,100.0,418.9983367214933,False
39,21600.0,21600.0,0.06693441566537639,B,0,8.67,80000.0,9.17, 60 months,21462.0,49.5,0.0,100.0,169.99117024990247,False
40,30000.0,30000.0,0.12205561610807113,C,0,14.31,75000.0,33.16, 60 months,56902.0,48.1,1.0,98.1,235.0438407359494,False
41,6425.0,6425.0,0.10477605713557135,D,0,16.99,46500.0,31.87, 36 months,3773.0,78.0,1.0,100.0,136.01922010718906,False
42,17500.0,17500.0,0.08192941111111124,A,0,8.39,112750.0,10.47, 36 months,4708.0,30.4,0.0,87.5,107.9940039836547,False
43,20000.0,20000.0,0.09217875736093867,B,0,12.49,85000.0,13.58, 36 months,20544.0,56.8,1.0,100.0,384.0078851721801,False
44,6000.0,6000.0,0.06627788529850742,A,0,7.12,70000.0,12.43, 36 months,27763.0,72.1,0.0,96.4,219.01065730302471,False
45,8000.0,8000.0,0.11705942203227568,C,0,13.66,60000.0,10.26, 36 months,9531.0,48.9,4.0,100.0,87.03258793815068,False
46,25000.0,25000.0,0.1254089417341489,D,0,17.14,120000.0,18.55, 60 months,5087.0,92.5,0.0,86.7,297.99379864062917,False
47,35000.0,35000.0,0.09388639559808358,C,0,14.31,104000.0,17.13, 36 months,40723.0,68.3,2.0,89.2,484.0181523234563,False
48,8000.0,8000.0,0.08644390774475108,C,0,14.49,99548.8,18.99, 36 months,25455.0,54.4,0.0,100.0,375.03850181728575,False
49,7000.0,7000.0,0.05835202778993434,A,0,6.99,24000.0,19.6, 36 months,10123.0,15.8,0.0,92.6,499.0328343497813,False
