,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
13096,-122.42,37.8,52.0,3321.0,1115.0,1576.0,1034.0,2.0987,NEAR BAY
14973,-118.38,34.14,40.0,1965.0,354.0,666.0,357.0,6.0876,<1H OCEAN
3785,-121.98,38.36,33.0,1083.0,217.0,562.0,203.0,2.433,INLAND
14689,-117.11,33.75,17.0,4174.0,851.0,1845.0,780.0,2.2618,INLAND
20507,-118.15,33.77,36.0,4366.0,1211.0,1912.0,1172.0,3.5292,NEAR OCEAN
1286,-121.31,37.96,52.0,1829.0,301.0,694.0,319.0,3.3466,INLAND
18078,-118.36,33.85,34.0,1086.0,197.0,509.0,158.0,6.1133,<1H OCEAN
4396,-122.13,37.41,36.0,4787.0,900.0,2039.0,890.0,5.4063,NEAR BAY
18031,-118.44,34.31,22.0,3182.0,822.0,2661.0,746.0,2.7472,<1H OCEAN
6753,-118.13,34.06,17.0,1714.0,572.0,1590.0,568.0,1.1875,<1H OCEAN
20615,-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,INLAND
11845,-118.34,34.04,42.0,2010.0,494.0,1203.0,427.0,1.9408,<1H OCEAN
13056,-122.02,37.26,34.0,1764.0,243.0,692.0,223.0,8.0331,<1H OCEAN
2543,-122.28,40.5,21.0,2405.0,476.0,1197.0,412.0,2.6488,INLAND
14267,-117.19,32.78,34.0,4108.0,664.0,1659.0,644.0,4.4097,NEAR OCEAN
17941,-117.91,33.78,26.0,4297.0,1037.0,3596.0,967.0,3.045,<1H OCEAN
7014,-121.09,37.61,42.0,1787.0,296.0,921.0,287.0,3.8864,INLAND
11562,-122.4,37.78,32.0,352.0,132.0,313.0,105.0,2.5742,NEAR BAY
8961,-117.66,35.62,11.0,5897.0,1138.0,2728.0,1072.0,4.15,INLAND
10613,-118.32,33.96,47.0,1297.0,292.0,704.0,264.0,3.3214,<1H OCEAN
13698,-117.94,33.76,33.0,1441.0,337.0,1233.0,331.0,3.7232,<1H OCEAN
2237,-122.47,37.73,52.0,2151.0,280.0,762.0,274.0,10.7309,NEAR OCEAN
11983,-120.79,38.83,15.0,1374.0,291.0,709.0,239.0,1.7222,INLAND
5239,-122.28,37.87,52.0,1813.0,353.0,828.0,339.0,3.5625,NEAR BAY
12020,-120.37,37.98,29.0,2508.0,591.0,1112.0,550.0,1.6021,INLAND
12130,-118.23,34.1,38.0,1051.0,249.0,799.0,229.0,2.712,<1H OCEAN
20176,-117.92,33.94,30.0,2506.0,394.0,1255.0,421.0,4.7813,<1H OCEAN
15812,-117.11,32.68,36.0,26.0,14.0,58.0,23.0,1.9107,NEAR OCEAN
17184,-121.57,39.8,23.0,790.0,137.0,365.0,152.0,2.1912,INLAND
3812,-122.48,37.72,46.0,2403.0,638.0,1281.0,603.0,3.2321,NEAR OCEAN
11189,-118.2,33.82,43.0,1758.0,347.0,954.0,312.0,5.2606,NEAR OCEAN
5325,-121.37,38.68,29.0,3757.0,646.0,2022.0,611.0,3.5429,INLAND
20349,-117.22,32.83,31.0,3958.0,727.0,1924.0,728.0,5.4605,NEAR OCEAN
18110,-122.07,37.39,19.0,1465.0,342.0,646.0,345.0,4.712,NEAR BAY
17115,-121.99,37.3,28.0,4863.0,901.0,2110.0,868.0,5.1483,<1H OCEAN
13911,-118.51,34.23,36.0,3324.0,448.0,1190.0,423.0,7.2772,<1H OCEAN
12104,-118.3,34.02,27.0,2190.0,626.0,1768.0,528.0,1.2446,<1H OCEAN
8538,-117.99,33.77,29.0,1312.0,267.0,922.0,255.0,3.1902,<1H OCEAN
2066,-122.49,37.75,43.0,2044.0,393.0,979.0,378.0,3.9205,NEAR OCEAN
5858,-117.5,34.0,15.0,1929.0,317.0,1237.0,316.0,4.4063,INLAND
3327,-117.24,34.04,4.0,4289.0,682.0,1981.0,705.0,5.3366,INLAND
12156,-117.88,33.89,16.0,959.0,176.0,353.0,185.0,4.5,<1H OCEAN
7626,-117.38,34.08,11.0,5684.0,1139.0,3095.0,1036.0,3.6875,INLAND
13534,-118.02,33.73,24.0,6393.0,1141.0,2743.0,1057.0,5.1384,<1H OCEAN
10358,-121.3,38.04,8.0,2668.0,447.0,1713.0,444.0,4.0156,INLAND
6449,-118.32,33.91,35.0,940.0,197.0,640.0,215.0,4.2,<1H OCEAN
11620,-121.07,37.71,39.0,223.0,37.0,92.0,37.0,3.375,INLAND
1833,-121.07,38.66,22.0,1831.0,274.0,813.0,269.0,4.6394,INLAND
16969,-120.27,37.11,18.0,1277.0,234.0,674.0,238.0,2.6694,INLAND
20529,-118.32,33.89,44.0,1300.0,252.0,695.0,249.0,5.1669,<1H OCEAN
17913,-118.33,34.04,52.0,2545.0,401.0,1004.0,372.0,3.6373,<1H OCEAN
8955,-118.58,34.21,24.0,2642.0,696.0,1649.0,633.0,3.0187,<1H OCEAN
9963,-117.98,33.69,16.0,2437.0,438.0,986.0,422.0,5.7117,<1H OCEAN
1591,-117.65,34.07,35.0,2501.0,651.0,1182.0,591.0,1.4464,INLAND
10266,-118.01,34.09,32.0,1613.0,361.0,1283.0,404.0,3.1944,INLAND
19618,-121.2,38.68,9.0,2200.0,422.0,938.0,369.0,3.4896,INLAND
18257,-120.39,34.52,40.0,2162.0,395.0,1010.0,332.0,2.5667,NEAR OCEAN
426,-122.44,37.76,52.0,1968.0,472.0,784.0,430.0,3.3702,NEAR BAY
13704,-121.08,39.02,13.0,1839.0,275.0,752.0,270.0,4.2031,INLAND
14533,-122.16,37.74,43.0,1534.0,300.0,826.0,295.0,4.0417,NEAR BAY
4721,-119.7,34.36,35.0,1604.0,334.0,904.0,337.0,4.7411,NEAR OCEAN
17317,-119.73,36.52,20.0,1741.0,331.0,1466.0,289.0,2.5921,INLAND
13499,-122.21,37.78,43.0,1702.0,460.0,1227.0,407.0,1.7188,NEAR BAY
15184,-118.25,34.01,31.0,1301.0,403.0,1952.0,377.0,2.1466,<1H OCEAN
1456,-122.39,41.41,23.0,910.0,199.0,370.0,169.0,1.7448,INLAND
1539,-119.59,36.64,27.0,823.0,171.0,798.0,200.0,3.0521,INLAND
11848,-119.8,36.78,50.0,1818.0,374.0,737.0,338.0,2.2614,INLAND
13914,-118.15,34.11,52.0,1746.0,330.0,704.0,306.0,3.7895,<1H OCEAN
16996,-117.08,34.96,28.0,1777.0,307.0,721.0,259.0,3.6343,INLAND
7296,-117.91,33.83,47.0,504.0,113.0,375.0,109.0,3.6607,<1H OCEAN
